ref	word	root	lemma	b1_huruf	b2_sarfi	b3_nahwi	b4_dalali	b5_all	wazn	bab	same_lemma_nazair	root_occurrences	has_asl
2:2:7	لِّلْمُتَّقِينَ	وقي	متقين	1	0	1	1	0	مُتَّقِين		48	258	0
2:3:2	يُؤْمِنُونَ	امن	ءامن	1	1	1	1	1	يُفْعِلُونَ	أَفْعَلَ	542	879	1
2:3:3	بِٱلْغَيْبِ	غيب	غيب	1	1	1	1	1	فَعْل		48	60	1
2:3:4	وَيُقِيمُونَ	قوم	اقام	1	1	1	1	1	يُفِعلُونَ	أَفْعَلَ	55	660	1
2:3:5	ٱلصَّلَوٰةَ	صلو	صلوة	1	1	1	1	1	فَعَلَة		82	99	0
2:3:7	رَزَقْنَٰهُمْ	رزق	رزق	1	1	1	1	1	فَعَلْنَاهُمْ	فَعَلَ	115	123	1
2:3:8	يُنفِقُونَ	نفق	انفق	1	1	1	1	1	يُفْعِلُونَ	أَفْعَلَ	67	111	1
2:4:2	يُؤْمِنُونَ	امن	ءامن	1	1	1	1	1	يُفْعِلُونَ	أَفْعَلَ	542	879	1
2:4:4	أُنزِلَ	نزل	انزل	1	1	1	1	1	أُفْعِل	أَفْعَلَ	182	293	1
2:4:7	أُنزِلَ	نزل	انزل	1	1	1	1	1	أُفْعِل	أَفْعَلَ	182	293	1
2:4:9	قَبْلِكَ	قبل	قبل	1	1	1	1	1	فَعْلِكَ		248	294	1
2:4:10	وَبِٱلْءَاخِرَةِ	اخر	اخر	1	1	1	1	1	فعِلَة		239	250	1
2:4:12	يُوقِنُونَ	يقن	يوقن	1	1	1	1	1	فُوعِلُونَ	أَفْعَلَ	11	28	0
2:5:3	هُدًى	هدي	هدى	1	1	1	1	1	فُعًل		229	316	1
2:5:5	رَّبِّهِمْ	ربب	رب	1	1	1	1	1	فَعِّهِمْ		974	980	0
2:5:8	ٱلْمُفْلِحُونَ	فلح	مفلحون	1	1	1	1	1	مُفْعِلُون		12	40	1
2:6:3	كَفَرُوا۟	كفر	كفر	1	1	1	1	1	فَعَلُوا	فَعَلَ	339	525	1
2:6:4	سَوَآءٌ	سوي	سواء	1	1	1	1	1	فَعَال		26	83	1
2:6:6	ءَأَنذَرْتَهُمْ	نذر	انذر	1	1	1	1	1	أَأَفْعَلْتَهُمْ	أَفْعَلَ	43	130	1
2:6:9	تُنذِرْهُمْ	نذر	انذر	1	1	1	1	1	تُفْعِلْهُمْ	أَفْعَلَ	43	130	1
2:6:11	يُؤْمِنُونَ	امن	ءامن	1	1	1	1	1	يُفْعِلُونَ	أَفْعَلَ	542	879	1
2:7:1	خَتَمَ	ختم	ختم	1	1	1	1	1	فَعَل	فَعَلَ	5	8	1
2:7:2	ٱللَّهُ	اله	الله	1	0	1	1	0			2698	2851	1
2:7:4	قُلُوبِهِمْ	قلب	قلب	1	1	1	1	1	فُعُولِهِمْ		137	168	1
2:7:6	سَمْعِهِمْ	سمع	سمع	1	1	1	1	1	فَعْلِهِمْ		99	185	1
2:7:8	أَبْصَٰرِهِمْ	بصر	بصر	1	1	1	1	1	أَفْعَالِهِمْ		47	148	1
2:7:9	غِشَٰوَةٌ	غشو	غشوة	1	1	1	1	1	فِعَالَة		1	29	0
2:7:11	عَذَابٌ	عذب	عذاب	1	1	1	1	1	فَعَال		321	373	1
2:7:12	عَظِيمٌ	عظم	عظيم	1	1	1	1	1	فَعِيل		119	128	1
2:8:2	ٱلنَّاسِ	نوس	ناس	1	1	1	1	1	فَعَل		240	241	1
2:8:4	يَقُولُ	قول	قال	1	1	1	1	1	يَفُعل	فَعَلَ	1617	1722	1
2:8:5	ءَامَنَّا	امن	ءامن	1	1	1	1	1	فعَلَّا	أَفْعَلَ	542	879	1
2:8:6	بِٱللَّهِ	اله	الله	1	0	1	1	0			2698	2851	1
2:8:7	وَبِٱلْيَوْمِ	يوم	يوم	1	1	1	1	1	فَعْل		404	405	0
2:8:8	ٱلْءَاخِرِ	اخر	اخر	1	1	1	1	1	فعِل		239	250	1
2:8:11	بِمُؤْمِنِينَ	امن	مومن	1	1	1	1	1	مُفْعِلِين		201	879	1
2:9:1	يُخَٰدِعُونَ	خدع	يخدع	1	1	1	1	1	يُفَاعِلُونَ	فَاعَلَ	3	5	1
2:9:2	ٱللَّهَ	اله	الله	1	0	1	1	0			2698	2851	1
2:9:4	ءَامَنُوا۟	امن	ءامن	1	1	1	1	1	فعَلُوا	أَفْعَلَ	542	879	1
2:9:6	يَخْدَعُونَ	خدع	يخدع	1	1	1	1	1	يَفْعَلُونَ	فَعَلَ	3	5	1
2:9:8	أَنفُسَهُمْ	نفس	نفس	1	1	1	1	1	أَفْعُلَهُمْ		294	298	1
2:9:10	يَشْعُرُونَ	شعر	يشعر	1	1	1	1	1	يَفْعُلُونَ	فَعَلَ	26	40	1
2:10:2	قُلُوبِهِم	قلب	قلب	1	1	1	1	1	فُعُولِهِمْ		137	168	1
2:10:3	مَّرَضٌ	مرض	مرض	1	1	1	1	1	فَعَل		13	24	1
2:10:4	فَزَادَهُمُ	زيد	زاد	1	1	1	1	1	فَعَلَهُمُ	فَعَلَ	48	61	1
2:10:5	ٱللَّهُ	اله	الله	1	0	1	1	0			2698	2851	1
2:10:6	مَرَضًا	مرض	مرض	1	1	1	1	1	فَعَلًا		13	24	1
2:10:8	عَذَابٌ	عذب	عذاب	1	1	1	1	1	فَعَال		321	373	1
2:10:9	أَلِيمٌۢ	الم	اليم	1	1	1	1	1	فَعِيل		71	75	1
2:10:11	كَانُوا۟	كون	كان	1	1	1	1	1	فَعَلُوا	فَعَلَ	1357	1390	1
2:10:12	يَكْذِبُونَ	كذب	كذب	1	1	1	1	1	يَفْعِلُونَ	فَعَلَ	251	282	1
2:11:2	قِيلَ	قول	قال	1	1	1	1	1	فِعل	فَعَلَ	1617	1722	1
2:11:5	تُفْسِدُوا۟	فسد	افسد	1	1	1	1	1	تُفْعِلُوا	أَفْعَلَ	14	50	0
2:11:7	ٱلْأَرْضِ	ارض	ارض	1	1	1	1	1	فَعْل		460	461	1
2:11:8	قَالُوٓا۟	قول	قال	1	1	1	1	1	فَعَلُوا	فَعَلَ	1617	1722	1
2:11:11	مُصْلِحُونَ	صلح	مصلح	1	1	1	1	1	مُفْعِلُون		4	180	1
2:12:4	ٱلْمُفْسِدُونَ	فسد	مفسد	1	1	1	1	1	مُفْعِلُون		20	50	0
2:12:7	يَشْعُرُونَ	شعر	يشعر	1	1	1	1	1	يَفْعُلُونَ	فَعَلَ	26	40	1
2:13:2	قِيلَ	قول	قال	1	1	1	1	1	فِعل	فَعَلَ	1617	1722	1
2:13:4	ءَامِنُوا۟	امن	ءامن	1	1	1	1	1	فعِلُوا	أَفْعَلَ	542	879	1
2:13:6	ءَامَنَ	امن	ءامن	1	1	1	1	1	فعَل	أَفْعَلَ	542	879	1
2:13:7	ٱلنَّاسُ	نوس	ناس	1	1	1	1	1	فَعَل		240	241	1
2:13:8	قَالُوٓا۟	قول	قال	1	1	1	1	1	فَعَلُوا	فَعَلَ	1617	1722	1
2:13:9	أَنُؤْمِنُ	امن	ءامن	1	1	1	1	1	فَنُؤْعِل	أَفْعَلَ	542	879	1
2:13:11	ءَامَنَ	امن	ءامن	1	1	1	1	1	فعَل	أَفْعَلَ	542	879	1
2:13:12	ٱلسُّفَهَآءُ	سفه	سفيه	1	1	1	1	1	فُعَلَاء		6	11	1
2:13:16	ٱلسُّفَهَآءُ	سفه	سفيه	1	1	1	1	1	فُعَلَاء		6	11	1
2:13:19	يَعْلَمُونَ	علم	علم	1	1	1	1	1	يَفْعَلُونَ	فَعَلَ	549	854	1
2:14:2	لَقُوا۟	لقي	لق	1	1	1	1	1	فَعُوا	فَعَلَ	13	146	1
2:14:4	ءَامَنُوا۟	امن	ءامن	1	1	1	1	1	فعَلُوا	أَفْعَلَ	542	879	1
2:14:5	قَالُوٓا۟	قول	قال	1	1	1	1	1	فَعَلُوا	فَعَلَ	1617	1722	1
2:14:6	ءَامَنَّا	امن	ءامن	1	1	1	1	1	فعَلَّا	أَفْعَلَ	542	879	1
2:14:8	خَلَوْا۟	خلو	خلا	1	1	1	1	1	فَعَوْا	فَعَلَ	24	28	1
2:14:10	شَيَٰطِينِهِمْ	شطن	شيطن	1	1	1	1	1	فَيَاعِيلِهِمْ		87	88	1
2:14:11	قَالُوٓا۟	قول	قال	1	1	1	1	1	فَعَلُوا	فَعَلَ	1617	1722	1
2:14:16	مُسْتَهْزِءُونَ	هزا	مستهزءون	1	1	1	1	1	مُسْتَفْعِلُون		1	34	0
2:15:1	ٱللَّهُ	اله	الله	1	0	1	1	0			2698	2851	1
2:15:2	يَسْتَهْزِئُ	هزا	استهزي	1	1	1	1	1	يَسْتَفْعِل	اِسْتَفْعَلَ	20	34	0
2:15:4	وَيَمُدُّهُمْ	مدد	مد	1	1	1	1	1	يَفُعُّهُمْ	فَعَلَ	14	32	0
2:15:6	طُغْيَٰنِهِمْ	طغي	طغين	1	1	1	1	1	فُعْيَلَنِهِمْ		14	39	0
2:15:7	يَعْمَهُونَ	عمه	يعمه	1	1	1	1	1	يَفْعَلُونَ	فَعَلَ	6	7	1
2:16:3	ٱشْتَرَوُا۟	شري	اشترى	1	1	1	1	1	افْتَعَوُا	اِفْتَعَلَ	20	25	0
2:16:4	ٱلضَّلَٰلَةَ	ضلل	ضللة	1	1	1	1	1	فَعَالَة		8	191	0
2:16:5	بِٱلْهُدَىٰ	هدي	هدى	1	1	1	1	1	فُعَل		229	316	1
2:16:7	رَبِحَت	ربح	ربحت	1	1	1	1	1	فَعِلَت	فَعَلَ	0	1	1
2:16:8	تِّجَٰرَتُهُمْ	تجر	تجرة	1	1	1	1	1	فِعَالَتُهُمْ		8	9	0
2:16:10	كَانُوا۟	كون	كان	1	1	1	1	1	فَعَلُوا	فَعَلَ	1357	1390	1
2:16:11	مُهْتَدِينَ	هدي	مهتدون	1	1	1	1	1	مُفْتَعِلن		16	316	1
2:17:1	مَثَلُهُمْ	مثل	مثل	1	1	1	1	1	فَعَلُهُمْ		162	169	1
2:17:2	كَمَثَلِ	مثل	مثل	1	1	1	1	1	فَعَل		162	169	1
2:17:4	ٱسْتَوْقَدَ	وقد	استوقد	1	1	1	1	1	اسْتَفْعَل	اِسْتَفْعَلَ	0	11	1
2:17:5	نَارًا	نور	نار	1	1	1	1	1	فَعَلًا		144	194	1
2:17:7	أَضَآءَتْ	ضوا	اضاء	1	1	1	1	1	أَفَعَلَت	أَفْعَلَ	2	6	1
2:17:9	حَوْلَهُۥ	حول	حول	1	1	1	1	1	فَعْلَهُ		17	25	1
2:17:10	ذَهَبَ	ذهب	ذهب	1	1	1	1	1	فَعَل	فَعَلَ	42	56	1
2:17:11	ٱللَّهُ	اله	الله	1	0	1	1	0			2698	2851	1
2:17:12	بِنُورِهِمْ	نور	نور	1	1	1	1	1	فُعلِهِمْ		42	194	1
2:17:13	وَتَرَكَهُمْ	ترك	ترك	1	1	1	1	1	فَعَلَهُمْ	فَعَلَ	39	43	0
2:17:15	ظُلُمَٰتٍ	ظلم	ظلمت	1	1	1	1	1	فُعُلَات		22	315	1
2:17:17	يُبْصِرُونَ	بصر	ابصر	1	1	1	1	1	يُفْعِلُونَ	أَفْعَلَ	28	148	1
2:18:1	صُمٌّۢ	صمم	اصم	1	1	1	1	1	فُعّ		12	15	0
2:18:2	بُكْمٌ	بكم	ابكم	1	1	1	1	1	فُعْل		5	6	1
2:18:3	عُمْىٌ	عمي	اعمى	1	1	1	1	1	فُعْل		20	33	1
2:18:6	يَرْجِعُونَ	رجع	رجع	1	1	1	1	1	يَفْعِلُونَ	فَعَلَ	81	104	1
2:19:2	كَصَيِّبٍ	صوب	صيب	1	1	1	1	1	فَعِّل		0	77	1
2:19:4	ٱلسَّمَآءِ	سمو	سماء	1	1	1	1	1	فَعَال		309	381	1
2:19:6	ظُلُمَٰتٌ	ظلم	ظلمت	1	1	1	1	1	فُعُلَات		22	315	1
2:19:7	وَرَعْدٌ	رعد	رعد	1	1	1	1	1	فَعْل		1	2	1
2:19:8	وَبَرْقٌ	برق	برق	1	1	1	1	1	فَعْل		5	6	1
2:19:9	يَجْعَلُونَ	جعل	جعل	1	1	1	1	1	يَفْعَلُونَ	فَعَلَ	339	346	0
2:19:10	أَصَٰبِعَهُمْ	صبع	اصبع	1	1	1	1	1	أَفَاعِلَهُمْ		1	2	1
2:19:12	ءَاذَانِهِم	اذن	اذن	1	1	1	1	1	فعَالِهِمْ		83	102	1
2:19:14	ٱلصَّوَٰعِقِ	صعق	صاعقة	1	1	1	1	1	فَوَاعِل		7	11	1
2:19:15	حَذَرَ	حذر	حذر	1	1	1	1	1	فَعَل		4	21	1
2:19:16	ٱلْمَوْتِ	موت	موت	1	1	1	1	1	فَعْل		49	165	1
2:19:17	وَٱللَّهُ	اله	الله	1	0	1	1	0			2698	2851	1
2:19:18	مُحِيطٌۢ	حوط	محيط	1	1	1	1	1	مُفِعل		8	28	0
2:19:19	بِٱلْكَٰفِرِينَ	كفر	كفرون	1	1	1	1	1	فَاعِلِين		128	525	1
2:20:1	يَكَادُ	كود	كاد	1	1	1	1	1	يَفَعَل	فَعَلَ	23	24	1
2:20:2	ٱلْبَرْقُ	برق	برق	1	1	1	1	1	فَعْل		5	6	1
2:20:3	يَخْطَفُ	خطف	خطف	1	1	1	1	1	يَفْعَل	فَعَلَ	2	7	1
2:20:4	أَبْصَٰرَهُمْ	بصر	بصر	1	1	1	1	1	أَفْعَالَهُمْ		47	148	1
2:20:5	كُلَّمَآ	كلل	كلما	1	1	1	1	1	فُعَّمَا		14	377	0
2:20:6	أَضَآءَ	ضوا	اضاء	1	1	1	1	1	أَفَعَل	أَفْعَلَ	2	6	1
2:20:8	مَّشَوْا۟	مشي	مش	1	1	1	1	1	فَعَوْا	فَعَلَ	20	23	1
2:20:11	أَظْلَمَ	ظلم	اظلم	1	1	1	1	1	أَفْعَل	أَفْعَلَ	16	315	1
2:20:13	قَامُوا۟	قوم	قام	1	1	1	1	1	فَعَلُوا	فَعَلَ	32	660	1
2:20:15	شَآءَ	شيا	شاء	1	1	1	1	1	فَعَل	فَعَلَ	235	519	0
2:20:16	ٱللَّهُ	اله	الله	1	0	1	1	0			2698	2851	1
2:20:17	لَذَهَبَ	ذهب	ذهب	1	1	1	1	1	فَعَل	فَعَلَ	42	56	1
2:20:18	بِسَمْعِهِمْ	سمع	سمع	1	1	1	1	1	فَعْلِهِمْ		99	185	1
2:20:19	وَأَبْصَٰرِهِمْ	بصر	بصر	1	1	1	1	1	أَفْعَالِهِمْ		47	148	1
2:20:21	ٱللَّهَ	اله	الله	1	0	1	1	0			2698	2851	1
2:20:23	كُلِّ	كلل	كل	1	1	1	1	1	فُعّ		359	377	0
2:20:24	شَىْءٍ	شيا	شىء	1	1	1	1	1	فَعْل		282	519	0
2:20:25	قَدِيرٌ	قدر	قدير	1	1	1	1	1	فَعِيل		44	132	1
2:21:2	ٱلنَّاسُ	نوس	ناس	1	1	1	1	1	فَعَل		240	241	1
2:21:3	ٱعْبُدُوا۟	عبد	عبد	1	1	1	1	1	افْعُلُوا	فَعَلَ	253	275	1
2:21:4	رَبَّكُمُ	ربب	رب	1	1	1	1	1	فَعَّكُمُ		974	980	0
2:21:6	خَلَقَكُمْ	خلق	خلق	1	1	1	1	1	فَعَلَكُمْ	فَعَلَ	257	261	1
2:21:9	قَبْلِكُمْ	قبل	قبل	1	1	1	1	1	فَعْلِكُمْ		248	294	1
2:21:11	تَتَّقُونَ	وقي	اتقى	1	1	1	1	1	تَتَّعُونَ	اِفْتَعَلَ	167	258	0
2:22:2	جَعَلَ	جعل	جعل	1	1	1	1	1	فَعَل	فَعَلَ	339	346	0
2:22:4	ٱلْأَرْضَ	ارض	ارض	1	1	1	1	1	فَعْل		460	461	1
2:22:5	فِرَٰشًا	فرش	فرش	1	1	1	1	1	فِعَالًا		4	6	1
2:22:6	وَٱلسَّمَآءَ	سمو	سماء	1	1	1	1	1	فَعَال		309	381	1
2:22:7	بِنَآءً	بني	بناء	1	1	1	1	1	فِعَال		2	184	1
2:22:8	وَأَنزَلَ	نزل	انزل	1	1	1	1	1	أَفْعَل	أَفْعَلَ	182	293	1
2:22:10	ٱلسَّمَآءِ	سمو	سماء	1	1	1	1	1	فَعَال		309	381	1
2:22:11	مَآءً	موه	ماء	1	0	1	1	0	فَعَء		62	63	1
2:22:12	فَأَخْرَجَ	خرج	اخرج	1	1	1	1	1	أَفْعَل	أَفْعَلَ	98	182	1
2:22:15	ٱلثَّمَرَٰتِ	ثمر	ثمرت	1	1	1	1	1	فَعَلَات		15	24	1
2:22:16	رِزْقًا	رزق	رزق	1	1	1	1	1	فِعْلًا		115	123	1
2:22:19	تَجْعَلُوا۟	جعل	جعل	1	1	1	1	1	تَفْعَلُوا	فَعَلَ	339	346	0
2:22:20	لِلَّهِ	اله	الله	1	0	1	1	0			2698	2851	1
2:22:21	أَندَادًا	ندد	انداد	1	1	1	1	1	أَفْعَالًا		5	6	0
2:22:23	تَعْلَمُونَ	علم	علم	1	1	1	1	1	تَفْعَلُونَ	فَعَلَ	549	854	1
2:23:2	كُنتُمْ	كون	كان	1	1	1	1	1	فُلْتُمْ	فَعَلَ	1357	1390	1
2:23:4	رَيْبٍ	ريب	ريب	1	1	1	1	1	فَعْل		17	36	1
2:23:6	نَزَّلْنَا	نزل	نزل	1	1	1	1	1	فَعَّلْنَا	فَعَّلَ	75	293	1
2:23:8	عَبْدِنَا	عبد	عبد	1	1	1	1	1	فَعْلِنَا		253	275	1
2:23:9	فَأْتُوا۟	اتي	اتى	1	1	1	1	1	فْعُوا	فَعَلَ	534	549	0
2:23:10	بِسُورَةٍ	سور	سورة	1	1	1	1	1	فُعلَة		9	17	1
2:23:12	مِّثْلِهِۦ	مثل	مثل	1	1	1	1	1	فِعْلِهِ		162	169	1
2:23:13	وَٱدْعُوا۟	دعو	دعا	1	1	1	1	1	افْعُوا	فَعَلَ	169	212	1
2:23:14	شُهَدَآءَكُم	شهد	شهيد	1	1	1	1	1	فُعَلَاءَكُمْ		55	160	1
2:23:16	دُونِ	دون	دون	1	1	1	1	1	فُعل		143	144	1
2:23:17	ٱللَّهِ	اله	الله	1	0	1	1	0			2698	2851	1
2:23:19	كُنتُمْ	كون	كان	1	1	1	1	1	فُلْتُمْ	فَعَلَ	1357	1390	1
2:23:20	صَٰدِقِينَ	صدق	صادق	1	1	1	1	1	فَاعِلِين		58	155	1
2:24:3	تَفْعَلُوا۟	فعل	فعل	1	1	1	1	1	تَفْعَلُوا	فَعَلَ	88	108	1
2:24:5	تَفْعَلُوا۟	فعل	فعل	1	1	1	1	1	تَفْعَلُوا	فَعَلَ	88	108	1
2:24:6	فَٱتَّقُوا۟	وقي	اتقى	1	1	1	1	1	اتَّقُفا	اِفْتَعَلَ	167	258	0
2:24:7	ٱلنَّارَ	نور	نار	1	1	1	1	1	فَعَل		144	194	1
2:24:9	وَقُودُهَا	وقد	وقود	1	1	1	1	1	فَعُولُهَا		3	11	1
2:24:10	ٱلنَّاسُ	نوس	ناس	1	1	1	1	1	فَعَل		240	241	1
2:24:11	وَٱلْحِجَارَةُ	حجر	حجارة	1	1	1	1	1	فِعَالَة		9	21	1
2:24:12	أُعِدَّتْ	عدد	اعد	1	1	1	1	1	أُفِعَّت	أَفْعَلَ	19	57	0
2:24:13	لِلْكَٰفِرِينَ	كفر	كفرون	1	1	1	1	1	فَاعِلِين		128	525	1
2:25:1	وَبَشِّرِ	بشر	بشر	1	1	1	1	1	فَعِّل	فَعَّلَ	79	123	1
2:25:3	ءَامَنُوا۟	امن	ءامن	1	1	1	1	1	فعَلُوا	أَفْعَلَ	542	879	1
2:25:4	وَعَمِلُوا۟	عمل	عمل	1	1	1	1	1	فَعِلُوا	فَعَلَ	358	360	1
2:25:5	ٱلصَّٰلِحَٰتِ	صلح	صلحت	1	1	1	1	1	فَاعِلَات		61	180	1
2:25:8	جَنَّٰتٍ	جنن	جنة	1	1	1	1	1	فَعَّات		158	201	0
2:25:9	تَجْرِى	جري	جري	1	1	1	1	1	تَفْعِل	فَعَلَ	56	64	1
2:25:11	تَحْتِهَا	تحت	تحت	1	1	1	1	1	فَعْلِهَا		50	51	0
2:25:12	ٱلْأَنْهَٰرُ	نهر	نهر	1	1	1	1	1	أَفْعَال		53	113	1
2:25:13	كُلَّمَا	كلل	كلما	1	1	1	1	1	فُعَّمَا		14	377	0
2:25:14	رُزِقُوا۟	رزق	رزق	1	1	1	1	1	فُعِلُوا	فَعَلَ	115	123	1
2:25:17	ثَمَرَةٍ	ثمر	ثمرة	1	1	1	1	1	فَعَلَة		0	24	1
2:25:18	رِّزْقًا	رزق	رزق	1	1	1	1	1	فِعْلًا		115	123	1
2:25:19	قَالُوا۟	قول	قال	1	1	1	1	1	فَعَلُوا	فَعَلَ	1617	1722	1
2:25:22	رُزِقْنَا	رزق	رزق	1	1	1	1	1	فُعِلْنَا	فَعَلَ	115	123	1
2:25:24	قَبْلُ	قبل	قبل	1	1	1	1	1	فَعْل		248	294	1
2:25:25	وَأُتُوا۟	اتي	اتى	1	1	1	1	1	فُعُوا	فَعَلَ	534	549	0
2:25:27	مُتَشَٰبِهًا	شبه	متشبه	1	1	1	1	1	مُتَفَاعِلًا		5	12	1
2:25:30	أَزْوَٰجٌ	زوج	زوج	1	1	1	1	1	أَفْعَال		75	81	1
2:25:31	مُّطَهَّرَةٌ	طهر	مطهرة	1	1	1	1	1	مُفَعَّلَة		4	31	1
2:25:34	خَٰلِدُونَ	خلد	خلد	1	1	1	1	1	فَاعِلُون		79	87	1
2:26:2	ٱللَّهَ	اله	الله	1	0	1	1	0			2698	2851	1
2:26:4	يَسْتَحْىِۦٓ	حيي	يستحىۦ	1	1	1	1	1	يَسْتَفْعِل	اِسْتَفْعَلَ	8	184	0
2:26:6	يَضْرِبَ	ضرب	ضرب	1	1	1	1	1	يَفْعِل	فَعَلَ	57	58	1
2:26:7	مَثَلًا	مثل	مثل	1	1	1	1	1	فَعَلًا		162	169	1
2:26:9	بَعُوضَةً	بعض	بعوضة	1	1	1	1	1	فَعُولَة		0	158	1
2:26:11	فَوْقَهَا	فوق	فوق	1	1	1	1	1	فَعْلَهَا		40	43	1
2:26:14	ءَامَنُوا۟	امن	ءامن	1	1	1	1	1	فعَلُوا	أَفْعَلَ	542	879	1
2:26:15	فَيَعْلَمُونَ	علم	علم	1	1	1	1	1	يَفْعَلُونَ	فَعَلَ	549	854	1
2:26:17	ٱلْحَقُّ	حقق	حق	1	1	1	1	1	فَعّ		266	287	0
2:26:19	رَّبِّهِمْ	ربب	رب	1	1	1	1	1	فَعِّهِمْ		974	980	0
2:26:22	كَفَرُوا۟	كفر	كفر	1	1	1	1	1	فَعَلُوا	فَعَلَ	339	525	1
2:26:23	فَيَقُولُونَ	قول	قال	1	1	1	1	1	يَفُعلُونَ	فَعَلَ	1617	1722	1
2:26:25	أَرَادَ	رود	اراد	1	1	1	1	1	أَفَعَل	أَفْعَلَ	138	148	1
2:26:26	ٱللَّهُ	اله	الله	1	0	1	1	0			2698	2851	1
2:26:28	مَثَلًا	مثل	مثل	1	1	1	1	1	فَعَلًا		162	169	1
2:26:29	يُضِلُّ	ضلل	اضل	1	1	1	1	1	يُفِعّ	أَفْعَلَ	72	191	0
2:26:31	كَثِيرًا	كثر	كثير	1	1	1	1	1	فَعِيلًا		62	167	1
2:26:32	وَيَهْدِى	هدي	هدى	1	1	1	1	1	يَفْعِل	فَعَلَ	229	316	1
2:26:34	كَثِيرًا	كثر	كثير	1	1	1	1	1	فَعِيلًا		62	167	1
2:26:36	يُضِلُّ	ضلل	اضل	1	1	1	1	1	يُفِعّ	أَفْعَلَ	72	191	0
2:26:39	ٱلْفَٰسِقِينَ	فسق	فاسق	1	1	1	1	1	فَاعِلِين		36	54	0
2:27:2	يَنقُضُونَ	نقض	نقضت	1	1	1	1	1	يَفْعُلُونَ	فَعَلَ	5	9	1
2:27:3	عَهْدَ	عهد	عهد	1	1	1	1	1	فَعْل		45	46	1
2:27:4	ٱللَّهِ	اله	الله	1	0	1	1	0			2698	2851	1
2:27:6	بَعْدِ	بعد	بعد	1	1	1	1	1	فَعْل		206	235	1
2:27:7	مِيثَٰقِهِۦ	وثق	ميثق	1	0	1	1	0	مِيثَاقِهِ		24	34	1
2:27:8	وَيَقْطَعُونَ	قطع	قطع	1	1	1	1	1	يَفْعَلُونَ	فَعَلَ	27	36	1
2:27:10	أَمَرَ	امر	امر	1	1	1	1	1	فَعَل	فَعَلَ	243	248	1
2:27:11	ٱللَّهُ	اله	الله	1	0	1	1	0			2698	2851	1
2:27:14	يُوصَلَ	وصل	يصل	1	1	1	1	1	يُفعَل	فَعَلَ	9	12	1
2:27:15	وَيُفْسِدُونَ	فسد	افسد	1	1	1	1	1	يُفْعِلُونَ	أَفْعَلَ	14	50	0
2:27:17	ٱلْأَرْضِ	ارض	ارض	1	1	1	1	1	فَعْل		460	461	1
