letter,name_ar,name_translit,translit,makhraj_en,makhraj_ar,sifat,sifat_ar,abbas_meaning,abbas_meaning_ar,abbas_keywords,abbas_keywords_ar,ibn_jinni_note,ibn_jinni_note_ar,confidence
ز,الزاي,zay,z,tip of tongue against lower front teeth (sibilant),طرف اللسان وفويق الثنايا السفلى,rikhwa; majhura; mustafila; munfatiha; safir,رخوة; مجهورة; مستفلة; منفتحة; صفير,"buzzing motion and slipping; a fine vibratory sliding (aziz, zalaq)",حركةٌ أزيزية وانزلاق؛ اهتزازٌ دقيق منزلق (أزيز، زلق),buzzing; slipping; vibration; gliding,أزيز; انزلاق; اهتزاز; انسياب,"A voiced whistling sibilant (safir) — the audible buzz imitates a fine, sliding vibration.",صفيرٌ مجهور — الأزيز المسموع يحاكي اهتزازًا منزلقًا دقيقًا,summary
س,السين,sin,s,tip of tongue against lower front teeth (sibilant),طرف اللسان وفويق الثنايا السفلى,rikhwa; mahmusa; mustafila; munfatiha; safir,رخوة; مهموسة; مستفلة; منفتحة; صفير,"smooth flowing and hidden extension; gliding, secret continuity (sayalan, sirr)",الانسياب الناعم والامتداد الخفيّ؛ الجريان والاستمرار السرّي (سيلان، سرّ),flow; smoothness; extension; hiddenness; continuity,انسياب; نعومة; امتداد; خفاء; استمرار,"A soft, sustained hiss — breath flows continuously, evoking smooth, quiet, extended movement.",هسهسةٌ ناعمة ممتدّة — يجري النَّفَس باستمرار، فيوحي بحركةٍ ناعمة هادئة ممتدّة,high
ش,الشين,shin,š,middle of tongue against hard palate,وسط اللسان مع وسط الحنك,rikhwa; mahmusa; mustafila; munfatiha; tafashshi,رخوة; مهموسة; مستفلة; منفتحة; تفشٍّ,"spreading and dispersion; radiating outward, branching (intishar, tafashshi)",الانتشار والتفشّي؛ الإشعاع والتفرّع (انتشار، تفشٍّ),spreading; dispersion; radiation; branching,انتشار; تفشٍّ; إشعاع; تفرّع,"Uniquely carries tafashshi (the breath spreads in the mouth) — its articulation literally scatters, hence dispersion.",يتفرّد بالتفشّي (انتشار النَّفَس في الفم) — نطقه يتبعثر حرفيًّا، فمعنى التفرّق,high
ص,الصاد,sad,ṣ,tip of tongue against lower front teeth (emphatic sibilant),طرف اللسان وفويق الثنايا السفلى,rikhwa; mahmusa; musta'liya; mutbaqa; safir,رخوة; مهموسة; مستعلية; مطبقة; صفير,"strength, hardness, largeness; solidity and toughness (salaba, sakhr)",القوة والصلابة والضخامة؛ المتانة والخشونة (صلابة، صخر),strength; hardness; solidity; largeness,قوة; صلابة; متانة; ضخامة,"An emphatic (mutbaq) sibilant — the tongue vaults and the sound thickens, evoking hard, heavy, resistant matter.",صفيرٌ مطبَق — يرتفع اللسان ويثقُل الصوت، فيوحي بالمادّة الصلبة الثقيلة المقاومة,summary
ض,الضاد,dad,ḍ,edge of tongue against upper molars,حافة اللسان مع الأضراس,rikhwa; majhura; musta'liya; mutbaqa; istitala,رخوة; مجهورة; مستعلية; مطبقة; استطالة,"forceful pressure and fullness; pressing, compacting, strength under load (daght, dakhm)",الضغط بقوّة والامتلاء؛ الكبس والقوة تحت الحمل (ضغط، ضخم),pressure; force; compacting; fullness,ضغط; قوة; كبس; امتلاء,"Emphatic with istitala (the sound extends along the tongue's edge) — a strong, pressing, spreading force.",مطبَقٌ مع استطالة (امتداد الصوت على حافّة اللسان) — قوةٌ ضاغطة منتشرة,summary
ط,الطاء,ta',ṭ,tip of tongue against upper front teeth roots (emphatic),طرف اللسان وأصول الثنايا,shadida; majhura; musta'liya; mutbaqa; qalqala,شديدة; مجهورة; مستعلية; مطبقة; قلقلة,"strength with extension and spreading-out; broad forceful surface (bast, tul)",القوة مع الامتداد والانبساط؛ سطحٌ قويّ عريض (بسط، طول),strength; extension; spreading; broadness,قوة; امتداد; انبساط; عرض,"An emphatic voiced stop — a heavy, expansive strike, force spread over a surface.",وقفة مجهورة مطبقة — ضربةٌ ثقيلة ممتدّة، قوةٌ منبسطة على سطح,summary
ظ,الظاء,za',ẓ,tip of tongue with edges of upper front teeth (emphatic),طرف اللسان وأطراف الثنايا,rikhwa; majhura; musta'liya; mutbaqa,رخوة; مجهورة; مستعلية; مطبقة,strong appearance and prominence with sharpness; conspicuous force (zuhur),الظهور القويّ والبروز مع الحدّة؛ قوةٌ بارزة ظاهرة (ظهور),prominence; appearance; sharpness; strength,بروز; ظهور; حدّة; قوة,"Emphatic voiced continuant — a thick, protruding sound, hence conspicuous, forceful showing.",مستمرٌّ مجهور مطبَق — صوتٌ غليظ بارز، فمعنى الإظهار القويّ,summary
ع,العين,'ayn,ʿ,middle of the throat (wasat al-halq),وسط الحلق,mutawassita (bayniyya); majhura; mustafila; munfatiha,متوسطة (بينية); مجهورة; مستفلة; منفتحة,"depth, breadth and expanse; profundity, comprehensiveness (umq, si'a, 'ilm)",العمق والسعة والاتساع؛ الغور والشمول (عمق، سعة، علم),depth; breadth; expanse; profundity,عمق; سعة; اتساع; غور,"A deep pharyngeal voicing from the middle of the throat — the sound rises from the depths, evoking depth and wide extent.",جهرٌ حلقيّ عميق من وسط الحلق — يرتفع الصوت من الأعماق، فيوحي بالعمق والاتساع,high
غ,الغين,ghayn,ġ,nearest part of the throat to the mouth (adna al-halq),أدنى الحلق,rikhwa; majhura; musta'liya; munfatiha,رخوة; مجهورة; مستعلية; منفتحة,"absence, concealment and obscurity; being hidden or veiled (ghayb, ghata, ghumud)",الغياب والستر والغموض؛ الاختفاء والحجب (غيب، غطاء، غموض),absence; concealment; obscurity; veiling,غياب; ستر; غموض; حجب,"A muffled, gargling velar friction — the sound is 'covered', evoking what is hidden, veiled, absent.",احتكاكٌ حلقيّ مكتوم كالغرغرة — الصوت «مُغطّى»، فيوحي بالمخفيّ المحجوب الغائب,high
ف,الفاء,fa',f,inner lower lip against upper front teeth,باطن الشفة السفلى مع الثنايا,rikhwa; mahmusa; mustafila; munfatiha,رخوة; مهموسة; مستفلة; منفتحة,"separation, expulsion and outward escape; splitting off, fleeing (farr, fasl, fatah)",الانفصال والطرد والخروج؛ الانفلات والفرار (فرّ، فصل، فتح),separation; expulsion; escape; splitting; opening,انفصال; طرد; فرار; فصل; فتح,"Breath forced out between lip and teeth — a puff outward, hence expelling, splitting and escaping.",يُدفَع النَّفَس بين الشفة والأسنان — نفخةٌ إلى الخارج، فمعنى الطرد والفصل والفرار,summary
ق,القاف,qaf,q,deepest part of the tongue against the soft palate,أقصى اللسان مع الحنك اللين,shadida; majhura; musta'liya; munfatiha; qalqala,شديدة; مجهورة; مستعلية; منفتحة; قلقلة,"strength, depth, forceful cutting and decisiveness (quwwa, qat', qahr)",القوة والعمق والقطع الحازم؛ الشدّة والحسم (قوة، قطع، قهر),strength; force; cutting; depth; decisiveness,قوة; شدّة; قطع; عمق; حسم,"A deep, hard, explosive stop from the back of the tongue — a powerful, decisive strike or cut.",وقفةٌ عميقة شديدة انفجارية من أقصى اللسان — ضربةٌ قويّة حاسمة أو قطع,high
ك,الكاف,kaf,k,back of tongue against the palate (below qaf),أقصى اللسان أسفل من مخرج القاف,shadida; mahmusa; mustafila; munfatiha,شديدة; مهموسة; مستفلة; منفتحة,"friction, rubbing and restraint; weaker pressing, pressing/holding back (dalk, kabt)",الاحتكاك والدلك والكبت؛ ضغطٌ أضعف، ضغطٌ/إمساك (دلك، كبت),friction; rubbing; restraint; pressing,احتكاك; دلك; كبت; ضغط,"An unvoiced back stop, softer than qaf — a rubbing, restraining contact rather than a full strike.",وقفةٌ خلفية مهموسة، أرقّ من القاف — تماسٌّ دالكٌ كابح لا ضربةٌ كاملة,summary
ل,اللام,lam,l,tip/edge of tongue against the gum ridge,حافة اللسان مع ما يحاذيها من اللثة,mutawassita (bayniyya); majhura; mustafila; munfatiha; inhiraf,متوسطة (بينية); مجهورة; مستفلة; منفتحة; انحراف,"softness, clinging and gentle attachment; smoothness, adherence (layn, luzuq)",اللين والالتصاق واللطف؛ النعومة والالتحام (لين، لزوق),softness; clinging; attachment; gentleness,لين; التصاق; التحام; لطف,"A liquid, gliding sound with inhiraf (the airflow deviates around the tongue) — smooth, soft, adhering.",صوتٌ مائع منزلق مع انحراف (ينحرف الهواء حول اللسان) — ناعمٌ ليّن ملتصق,summary
م,الميم,mim,m,"the two lips, with nasal resonance (ghunna)",الشفتان مع الغنة,mutawassita (bayniyya); majhura; mustafila; munfatiha; ghunna,متوسطة (بينية); مجهورة; مستفلة; منفتحة; غنّة,"joining, enclosing, fullness and hidden depth; gathering-in and mothering (jam', damm, umm)",الضمّ والاحتواء والامتلاء والعمق الخفيّ؛ الجمع والأمومة (جمع، ضمّ، أمّ),joining; enclosing; fullness; gathering; depth,ضمّ; احتواء; امتلاء; جمع; عمق,The lips close fully while sound resonates within (ghunna) — a gesture of gathering and containing inside.,تنطبق الشفتان تمامًا والصوت يرنّ في الداخل (غنّة) — إشارةُ جمعٍ واحتواءٍ في الداخل,high
ن,النون,nun,n,"tip of tongue against the gum ridge, with nasal resonance (ghunna)",طرف اللسان مع الغنة,mutawassita (bayniyya); majhura; mustafila; munfatiha; ghunna,متوسطة (بينية); مجهورة; مستفلة; منفتحة; غنّة,"fine hidden resonance; inwardness, subtle sound, soft moaning (anin, butun)",الرنين الخفيّ الدقيق؛ الباطنيّة والصوت اللطيف والأنين (أنين، بطون),inwardness; resonance; subtlety; hiddenness; moaning,باطنيّة; رنين; دقّة; خفاء; أنين,"A nasal resonance held inside — a soft, inward hum, evoking subtle interiority and gentle sound.",رنينٌ أنفيّ محبوس في الداخل — همهمةٌ ناعمة باطنيّة، توحي بالباطن الدقيق والصوت اللطيف,summary
ه,الهاء,ha',h,glottis / deepest throat (aqsa al-halq),أقصى الحلق,rikhwa; mahmusa; mustafila; munfatiha,رخوة; مهموسة; مستفلة; منفتحة,"faintness, emptying and breath; weakness, exhalation, hollowness (hawa', hubut)",الخفوت والإفراغ والنَّفَس؛ الضعف والزفير والخواء (هواء، هبوط),faintness; breath; emptying; weakness; hollowness,خفوت; نَفَس; إفراغ; ضعف; خواء,"A pure exhaled breath with no obstruction — the lightest, emptiest sound, evoking faintness and release of air.",نَفَسٌ مزفور خالص بلا اعتراض — أخفّ الأصوات وأفرغها، يوحي بالخفوت وإطلاق الهواء,summary
و,الواو,waw,w,"the two lips (rounded, without full closure)",الشفتان (حرف علة),rikhwa/madd; majhura; mustafila; munfatiha; lin,رخوة/مدّ; مجهورة; مستفلة; منفتحة; لين,"connection, extension and widening; joining and amplitude (wasl, si'a)",الوصل والامتداد والاتساع؛ الربط والسعة (وصل، سعة),connection; extension; widening; joining; amplitude,وصل; امتداد; اتساع; ربط; سعة,"A rounded, prolonged glide — the lips open into a wide, connecting flow, evoking linkage and extension.",انزلاقٌ مدوّر ممدود — تنفتح الشفتان في جريانٍ واسع واصل، يوحي بالربط والامتداد,summary
ي,الياء,ya',y,middle of tongue against hard palate (glide),وسط اللسان (حرف علة),rikhwa/madd; majhura; mustafila; munfatiha; lin,رخوة/مدّ; مجهورة; مستفلة; منفتحة; لين,"softness, extension and smallness/nearness; a fine gliding, diminutive quality (layn, imtidad)",اللين والامتداد والصِّغَر/القرب؛ انزلاقٌ دقيق وصفةُ تصغير (لين، امتداد),softness; extension; smallness; gliding; nearness,لين; امتداد; صِغَر; انزلاق; قرب,"A high, soft palatal glide — thin and gentle, evoking fineness, closeness and light extension.",انزلاقٌ حنكيّ عالٍ ناعم — رقيقٌ لطيف، يوحي بالدقّة والقرب والامتداد الخفيف,summary
