root_normalized,root_raw,asl_text,asl_preamble,asl_count,asl_status,source,edition,confidence
ات,أت,قال ابن دريد: أته يؤته:: إذا غلبه بالكلام، أو بكته بالحجة، ولم يأت في الباب غير هذا، وأحسب الهمزة منقلبة عن عين,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اتب,أتب,الهمزة والتاء والباء أصل واحد، وهو شيء يشتمل به الإبط، قميص غير مخيط الجانبين,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اتل,أتل,الهمزة والتاء واللام يدل على أصل واحد، وهو البطء والتثاقل,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اتم,أتم,الهمزة والتاء والميم يدل على انضمام الشيء بعضه إلى بعض، الأتم في الخرز أن تتفتق خرزتان فتصيرا واحدة,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اتن,أتن,الهمزة والتاء والنون أصل واحد، وهو الأنثى من الحمر، أو شيء استعير له هذا الاسم,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اته,أته,الهمزة والتاء والهاء، يقال: إن التأته الكبر والخيلاء,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اتو,أتو,الهمزة والتاء والواو والألف والياء يدل على مجيء الشيء وإصحابه وطاعته,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اتي,أتي,تقول: أتاني فلان إتيانا وأتيا وأتية وأتوة واحدة، ولا يقال: إتيانة واحدة إلا في اضطرار شاعر، وهو قبيح لأن المصادر كلها إذا جعلت واحدة ردت إلى بناء فعلها، وذلك إذا كان الفعل على فعل، فإذا دخلت في الفعل زيادات فوق ذلك أدخلت فيها زياداتها في الواحدة، كقولنا إقبالة واحدة,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اث,أث,هذا باب يتفرع من الاجتماع واللين، وهو أصل و,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اثر,أثر,الهمزة والثاء والراء، له ثلاثة أصول: تقديم الشيء، وذكر الشيء، ورسم الشيء الباقي,,3,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اثف,أثف,الهمزة والثاء والفاء يدل على التجمع والثبات,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اثل,أثل,الهمزة والثاء واللام يدل على أصل الشيء وتجمعه,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اثم,أثم,الهمزة والثاء والميم تدل على أصل واحد، وهو البطء والتأخر,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اثن,أثن,الهمزة والثاء والنون ليس بأصل، وإنما جاءت فيه كلمة من الإبدال، يقولون الأثن لغة في الوثن,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اثوى,أثوى,الهمزة والثاء والواو والياء أصل واحد، تختلط الواو فيه بالياء، ويقولون أثى عليه يأثي إثاوة وإثاية وأثوا وأثيا: إذا نم عليه,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اج,أج,وأما الهمزة والجيم فلها أصلان: الحفيف، والشدة إما حرا وإما ملوحة,,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اجا,أجأ,جبل لطي,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اجح,أجح,الهمزة والجيم والحاء فرع ليس بأصل، وذلك أن الهمزة فيه مبدلة من واو، فالأجاح: الستر، وأصله وجاح,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اجد,أجد,الهمزة والجيم والدال أصل واحد، وهو الشيء المعقود، وذلك أن الإجاد الطاق الذي يعقد في البناء، ولذلك قيل ناقة أجد,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اجر,أجر,الكراء على العمل ||| جبر العظم الكسير,الهمزة والجيم والراء أصلان يمكن الجمع بينهما بالمعنى,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اجص,أجص,الهمزة والجيم والصاد ليست أصلا، لأنه لم يجئ عليها إلا الإجاص,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اجل,أجل,اعلم أن الهمزة والجيم واللام يدل على خمس كلمات متباينة، لا يكاد يمكن حمل واحدة على واحدة من جهة القياس، فكل واحدة أصل في نفسها,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اجم,أجم,الهمزة والجيم والميم لا يخلو من التجمع والشدة,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اجن,أجن,الهمزة والجيم والنون كلمة واحدة,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اح,أح,وللهمزة والحاء أصل واحد، وهو حكاية السعال وما أشبهه من عطش وغيظ، وكله قريب بعضه من بعض,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
احد,أحد,الهمزة والحاء والدال فرع والأصل الواو: وحد، وقد ذكر في الواو,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
احن,أحن,الهمزة والحاء والنون كلمة واحدة,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اخ,أخ,] تأوه أو تكره ||| طعام بعينه,وأما الهمزة والخاء فأصلان: [,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اخذ,أخذ,الهمزة والخاء والذال أصل واحد تتفرع منه فروع متقاربة في المعنى,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اخر,أخر,الهمزة والخاء والراء أصل واحد إليه ترجع فروعه، وهو خلاف التقدم,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اخو,أخو,الهمزة والخاء والواو ليس بأصل، لأن الهمزة عندنا مبدلة من واو، وقد ذكرت في كتاب الواو بشرحها، وكذلك الآخية,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اد,أد,عظم الشيء وشدته وتكرره ||| الندود,وأما الهمزة والدال في المضاعف فأصلان,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ادب,أدب,الهمزة والدال والباء أصل واحد تتفرع مسائله وترجع إليه: فالأدب أن تجمع الناس إلى طعامك,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ادر,أدر,الهمزة والدال والراء كلمة واحدة، فهي الأدرة والأدرة، يقال: أدر يأدر، وهو آدر,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
ادل,أدل,الهمزة والدال واللام أصل واحد يتفرع منه كلمتان متقاربتان في المعنى، متباعدتان في الظاهر,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ادم,أدم,الهمزة والدال والميم أصل واحد، وهو الموافقة والملاءمة، وذلك قول النبي صلى الله عليه وآله وسلم للمغيرة بن شعبة - وخطب المرأة -: «لو نظرت إليها، فإنه أحرى أن يؤدم بينكما»,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ادو,أدو,الهمزة والدال والواو كلمة واحدة,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
ادي,أدي,الهمزة والدال والياء أصل واحد، وهو إيصال الشيء إلى الشيء أو وصوله إليه من تلقاء نفسه,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اذ,أذ,وأما الهمزة والذال فليس بأصل، وذلك أن الهمزة فيه محولة من هاء، وقد ذكر في الهاء,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اذن,أذن,أذن كل ذي أذن ||| العلم; وعنهما يتفرع الباب كله,الهمزة والذال والنون أصلان متقاربان في المعنى، متباعدان في اللفظ,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اذي,أذي,الهمزة والذال والياء أصل واحد، وهو الشيء تتكرهه ولا تقر عليه,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ار,أر,أصل هذا الباب واحد، وهو هيج الشيء بتذكية وحمي، فالأر: الجماع، يقال أرها يؤرها أرا، والمئر: الكثير الجماع,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ارب,أرب,الهمزة والراء والباء لها أربعة أصول إليها ترجع الفروع: وهي الحاجة، والعقل، والنصيب، والعقد,,4,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ارث,أرث,الهمزة والراء والثاء تدل على قدح نار أو شب عداوة,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ارج,أرج,الهمزة والراء والجيم كلمة واحدة وهي الأرج، وهو والأريج رائحة الطيب,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
ارخ,أرخ,الهمزة والراء والخاء كلمة واحدة عربية، وهي الإراخ لبقر الوحش,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
ارز,أرز,الهمزة والراء والزاء أصل واحد لا يخلف قياسه بتة، وهو التجمع والتضام,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ارس,أرس,الهمزة والراء والسين ليست عربية,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
ارش,أرش,الهمزة والراء والشين يمكن أن يكون أصلا، وقد جعلها بعض أهل العلم فرعا، وزعم أن الأصل الهرش، وأن الهمزة عوض من الهاء,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ارض,أرض,الهمزة والراء والضاد ثلاثة أصول، أصل يتفرع وتكثر مسائله، وأصلان لا ينقاسان بل كل واحد موضوع حيث وضعته العرب,,3,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ارط,أرط,الهمزة والراء والطاء كلمة واحدة لا اشتقاق لها، وهي الأرطى الشجرة، الواحدة منها أرطاة، وأرطاتان وأرطيات,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
ارف,أرف,الهمزة والراء والفاء أصل واحد، لا يقاس عليه ولا يتفرع منه,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ارق,أرق,نفار النوم ليلا ||| لون من الألوان,الهمزة والراء والقاف أصلان,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ارك,أرك,شجر ||| الإقامة,الهمزة والراء والكاف أصلان عنهما يتفرع المسائل,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ارم,أرم,الهمزة والراء والميم أصل واحد، وهو نضد الشيء إلى الشيء في ارتفاع ثم يكون القياس في أعلاه وأسفله واحدا,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ارن,أرن,النشاط ||| مأوى يأوي إليه وحشي أو غيره,الهمزة والراء والنون أصلان,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ارو,أرو,وأما الهمزة والراء والواو فليس إلا الأروى، وليس هو أصلا يشتق منه ولا يقاس عليه,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اري,أري,أما الهمزة والراء والياء فأصل يدل على التثبت والملازمة,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
از,أز,والهمزة والزاء يدل على التحرك والتحريك والإزعاج,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ازب,أزب,الهمزة والزاء والباء أصلان: القصر والدقة ونحوهما، والأصل الآخر النشاط والصخب في بغي,,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ازح,أزح,الهمزة والزاء والحاء,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
ازد,أزد,قبيلة، والأصل السين، وقد ذكر في بابه,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ازر,أزر,الهمزة والزاء والراء أصل واحد، وهو القوة والشدة، يقال: تأزر النبت: إذا قوي واشتد,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ازف,أزف,الهمزة والزاء والفاء يدل على الدنو والمقاربة، يقال: أزف الرحيل: إذا اقترب ودنا,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ازق,أزق,الهمزة والزاء والقاف قياس واحد وأصل واحد، وهو الضيق,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ازل,أزل,وأما الهمزة والزاء واللام فأصلان: الضيق والكذب,,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ازم,أزم,وأما الهمزة والزاء والميم فأصل واحد، وهو الضيق وتداني الشيء من الشيء بشدة والتفاف,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ازى,أزى,انضمام الشيء بعضه إلى بعض ||| المحاذاة,الهمزة والزاء وما بعدهما من المعتل أصلان، إليهما ترجع فروع الباب كله بإعمال دقيق النظر,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اس,أس,الهمزة والسين يدل على الأصل والشيء الوطيد الثابت، فالأس,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اسد,أسد,الهمزة والسين والدال، يدل على قوة الشيء، ولذلك سمي الأسد أسدا لقوته، ومنه اشتقاق كل ما أشبهه، يقال: استأسد النبت قوي,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اسر,أسر,الهمزة والسين والراء أصل واحد، وقياس مطرد، وهو الحبس، وهو الإمساك,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اسف,أسف,الهمزة والسين والفاء أصل واحد يدل على الفوت والتلهف وما أشبه ذلك,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اسك,أسك,الهمزة والسين والكاف بناؤه في الكتابين,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اسل,أسل,الهمزة والسين واللام تدل على حدة الشيء وطوله في دقة,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اسم,أسم,الهمزة والسين والميم كلمة واحدة، وهو أسامة، اسم من أسماء الأسد,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اسن,أسن,تغير الشيء ||| السبب,الهمزة والسين والنون أصلان,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اسو,أسو,الهمزة والسين والواو أصل واحد يدل على المداواة والإصلاح، يقال: أسوت الجرح: إذا داويته، ولذلك يسمى الطبيب ال,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اسي,أسي,الهمزة والسين والياء كلمة واحدة، وهو الحزن; يقال: أسيت على الشيء آسى أسى، أي: حزنت عليه,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اش,أش,الهمزة والشين يدل على الحركة للقاء,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اشا,أشا,الهمزة والشين والألف,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اشب,أشب,الهمزة والشين والباء يدل على اختلاط والتفاف، يقال: عيص أشب، أي: ملتف، وجاء فلان في عدد أشب,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اشر,أشر,الهمزة والشين والراء، أصل واحد يدل على الحدة,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اشف,أشف,الهمزة والشين والفاء كلمة ليست بالأصلية فلذلك لم نذكرها,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اص,أص,وأما الهمزة والصاد فله معنيان، أحدهما أصل الشيء ومجتمعه، والأصل الآخر الرعدة,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اصد,أصد,الهمزة والصاد والدال، شيء يشتمل على الشيء,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اصر,أصر,الهمزة والصاد والراء، أصل واحد يتفرع منه أشياء متقاربة,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اصل,أصل,,,0,no_asl,maqayis_openiti,Harun_DarAlFikr,high
اض,أض,وللهمزة والضاد معنيان: الاضطرار والكسر، وهما متقاربان,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اضا,أضا,الهمزة والضاد مع اعتلال ما بعدهما كلمة واحدة، وهي الأضاة، مكان يستنقع فيه الماء كالغدير,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اضم,أضم,الهمزة والضاد والميم أصل واحد وكلمة واحدة، وهو الحقد، يقال: أضم عليه: إذا حقد واغتاظ,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اط,أط,وللهمزة والطاء معنى واحد، وهو صوت الشيء إذا حن وأنقض، يقال: أط الرحل يئط أطيطا، وذلك إذ,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اطر,أطر,الهمزة والطاء والراء أصل واحد، وهو عطف الشيء على الشيء أو إحاطته به,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اطل,أطل,الهمزة والطاء واللام، أصل واحد وكلمة واحدة، وهو الإطل والإطل، وهي الخاصرة; وجمعه آطال,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اطم,أطم,الهمزة والطاء والميم، يدل على الحبس والإحاطة بالشيء، يقال للحصن الأطم وجمعه آطام، قال امرؤ القيس: وتيماء لم يترك بها جذع نخلة,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اف,أف,وأما الهمزة والفاء في المضاعف فمعنيان، أحدهما تكره الشيء، والآخر الوقت الحاضر,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
افد,أفد,الهمزة والفاء والدال تدل على دنو الشيء وقربه، يقال: أفد الرحيل: قرب,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
افر,أفر,الهمزة والفاء والراء يدل على خفة واختلاط,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
افق,أفق,الهمزة والفاء والقاف أصل واحد، يدل على تباعد ما بين أطراف الشيء واتساعه، وعلى بلوغ النهاية,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
افك,أفك,الهمزة والفاء والكاف أصل واحد، يدل على قلب الشيء وصرفه عن جهته,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
افل,أفل,الغيبة ||| الصغار من الإبل,الهمزة والفاء واللام أصلان,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
افن,أفن,الهمزة والفاء والنون يدل على خلو الشيء وتفريغه,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اقر,أقر,أقر: موضع,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اقط,أقط,الهمزة والقاف والطاء تدل على الخلط والاختلاط,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اقن,أقن,الهمزة والقاف والنون كلمة واحدة لا يقاس عليها,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اك,أك,وأما الهمزة والكاف فمعنى الشدة من حر وغيره,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اكد,أكد,الهمزة والكاف والدال ليست أصلا، لأن الهمزة مبدلة من واو، يقال: وكدت العقد,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اكف,أكف,الهمزة والكاف والفاء ليس أصلا، لأن الهمزة مبدلة من واو، يقال: وكاف وإكاف,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اكل,أكل,الهمزة والكاف واللام باب تكثر فروعه، والأصل كلمة واحدة، ومعناها التنقص,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اكم,أكم,الهمزة والكاف والميم أصل واحد، وهي تجمع الشيء وارتفاعه قليلا,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اكن,أكن,الهمزة والكاف والنون ليست أصلا، وذلك أن الهمزة فيه مبدلة من واو,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ال,أل,والهمزة واللام في المضاعف ثلاثة أصول: اللمعان في اهتزاز، والصوت، والسبب يحافظ عليه,,3,has_asl,maqayis_openiti,Harun_DarAlFikr,high
الب,ألب,الهمزة واللام والباء يكون من,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
الت,ألت,الهمزة واللام والتاء كلمة واحدة، تدل على النقصان، يقال: ألته يألته، أي: نقصه,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
الس,ألس,الهمزة واللام والسين كلمة واحدة، وهي الخيانة,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
الف,ألف,الهمزة واللام والفاء أصل واحد، يدل على انضمام الشيء إلى الشيء، والأشياء الكثيرة أيضا,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
الق,ألق,الهمزة واللام والقاف أصل يدل على الخفة والطيش، واللمعان بسرعة,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
الك,ألك,الهمزة واللام والكاف أصل واحد، وهو تحمل الرسالة,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
الم,ألم,الهمزة واللام والميم أصل واحد، وهو الوجع,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اله,أله,الهمزة واللام والهاء أصل واحد، وهو التعبد,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
الوى,ألوى,الاجتهاد والمبالغة [ ||| التقصير] والثاني خلاف ذلك الأول,الهمزة واللام وما بعدهما في المعتل أصلان متباعدان,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ام,أم,وأما الهمزة والميم فأصل واحد، يتفرع منه أربع أبواب، وهي الأصل والمرجع والجماعة والدين، وهذه الأربعة متقاربة، وبعد ذلك أصول ثلاثة، وهي القامة والحين والقصد، قال الخليل: الأم: الواحد، والجمع أمهات، وربما قالوا: أم وأمات,,4,has_asl,maqayis_openiti,Harun_DarAlFikr,high
امت,أمت,الهمزة والميم والتاء أصل واحد لا يقاس عليه، وهو الأمت، قال الله تعالى: {لا ترى فيها عوجا ولا أمتا} [طه: 107],,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
امد,أمد,الهمزة والميم والدال، الأمد: الغاية,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
امر,أمر,الهمزة والميم والراء أصول خمسة: الأمر من الأمور، والأمر ضد النهي، والأمر النماء والبركة بفتح الميم، والمعلم، والعجب,,5,has_asl,maqayis_openiti,Harun_DarAlFikr,high
امع,أمع,الهمزة والميم والعين، ليس بأصل، والذي جاء فيه رجل إمعة، وهو الضعيف الرأي، القائل لكل أحد أنا معك,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
امل,أمل,الهمزة والميم واللام أصلان: الأول التثبت والانتظار، والثاني الحبل من الرمل,,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
امن,أمن,الأمانة التي هي ضد الخيانة، ومعناها سكون القلب ||| التصديق,الهمزة والميم والنون أصلان متقاربان,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
امه,أمه,وأما الهمزة والميم والهاء,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اموى,أموى,وأما الهمزة والميم [وما] بعدهما من المعتل فأصل واحد,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ان,إن,تك خيلي قد أصيب صميمها,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
انب,أنب,الهمزة والنون والباء، حرف واحد، أنبته تأنيبا، أي: وبخته ولمته,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
انت,أنت,الهمزة والنون والتاء، شذ عن كتاب الخليل في هذا النسق، وكذلك عن ابن دريد,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
انث,أنث,وأما الهمزة والنون والثاء فقال الخليل وغيره: الأنثى خلاف الذكر,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
انح,أنح,الهمزة والنون والحاء أصل واحد، وهو صوت تنحنح وزحير، يقال: أنح يأنح أنحا: إذا تنحنح من مرض أو بهر ولم يئن,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
انس,أنس,الهمزة والنون والسين أصل واحد، وهو ظهور الشيء، وكل شيء خالف طريقة التوحش,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
انض,أنض,الهمزة والنون والضاد كلمة واحدة لا يقاس عليها، يقال: لحم أنيض: إذا بقي فيه نهوءة، أي: لم ينضج,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
انف,أنف,أخذ الشيء من أوله ||| أنف كل ذي أنف,الهمزة والنون والفاء أصلان منهما يتفرع مسائل الباب كلها,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
انق,أنق,الهمزة والنون والقاف يدل على أصل واحد، وهو المعجب والإعجاب,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
انك,أنك,الهمزة والنون والكاف ليس فيه أصل، غير أنه قد ذكر الآنك,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
انى,أنى,الهمزة والنون وما بعدهما من المعتل، له أصول أربعة: البطء وما أشبهه من الحلم وغيره، وساعة من الزمان، وإدراك الشيء، وظرف من الظروف,,4,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اهب,أهب,الهمزة والهاء والباء كلمتان متباينتا الأصل، فالأولى الإهاب,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اهر,أهر,الهمزة والهاء والراء كلمة واحدة، ليست عند الخليل ولا ابن دريد,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اهل,أهل,الأهل ||| الإهالة، قال الخليل: الإهالة الألية ونحوها، يؤخذ فيقطع ويذاب,الهمزة والهاء واللام أصلان متباعدان,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
اهن,أهن,الهمزة والهاء والنون كلمة واحدة لا يقاس عليها,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
او,أو,كلمة شك وإباحة,,1,parse_uncertain,maqayis_openiti,Harun_DarAlFikr,low
اوب,أوب,الهمزة والواو والباء أصل واحد، وهو الرجوع، ثم يشتق منه ما يبعد في السمع قليلا، والأصل واحد,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
