ref	root	class	hamza	pos	wazn
5:2:41	وقي	لفيف	-	N	تَقْفَى
5:2:47	وقي	لفيف	-	V	اتَّقُفا
5:35:4	وقي	لفيف	-	V	اتَّقُفا
5:44:9	نبا	صحيح سالم	2	N	فَعِيُّون
5:46:26	وقي	لفيف	-	N	مُتَّقِين
5:4:26	وقي	لفيف	-	V	اتَّقُفا
5:57:19	وقي	لفيف	-	V	اتَّقُفا
5:5:31	اخذ	صحيح سالم	0	N	مُتَّخِذِي
5:65:6	وقي	لفيف	-	V	اتَّقَفْا
5:6:39	موه	أجوف	-	N	فَعَء
5:7:13	وقي	لفيف	-	V	اتَّقُفا
5:7:5	وثق	مثال	-	N	مِيثَاقَهُ
5:81:5	نبا	صحيح سالم	2	N	فَعِيّ
5:88:7	وقي	لفيف	-	V	اتَّقُفا
5:8:19	وقي	لفيف	-	N	تَّقْفَى
5:8:20	وقي	لفيف	-	V	اتَّقُفا
5:93:12	وقي	لفيف	-	V	اتَّقَفْا
5:93:17	وقي	لفيف	-	V	اتَّقَفْا
5:93:20	وقي	لفيف	-	V	اتَّقَفْا
5:96:16	وقي	لفيف	-	V	اتَّقُفا
60:11:16	وقي	لفيف	-	V	اتَّقُفا
60:12:2	نبا	صحيح سالم	2	N	فَعِيّ
64:16:1	وقي	لفيف	-	V	اتَّقُفا
65:10:6	وقي	لفيف	-	V	اتَّقُفا
65:1:10	وقي	لفيف	-	V	اتَّقُفا
65:1:2	نبا	صحيح سالم	2	N	فَعِيّ
66:1:2	نبا	صحيح سالم	2	N	فَعِيّ
66:3:3	نبا	صحيح سالم	2	N	فَعِيّ
66:8:25	نبا	صحيح سالم	2	N	فَعِيّ
66:9:2	نبا	صحيح سالم	2	N	فَعِيّ
67:10:3	كون	أجوف	-	V	فُنَّعَ
67:10:8	كون	أجوف	-	V	فُنَّعَ
67:30:5	موه	أجوف	-	N	فَعَؤُكُمْ
67:30:9	موه	أجوف	-	N	فَعَء
68:29:5	كون	أجوف	-	V	فُنَّعَ
68:31:4	كون	أجوف	-	V	فُنَّعَ
68:34:2	وقي	لفيف	-	N	مُتَّقِين
68:40:1	سال	صحيح سالم	1	V	فَلْهُمْ
69:11:4	موه	أجوف	-	N	فَعَء
69:48:3	وقي	لفيف	-	N	مُتَّقِين
6:112:4	نبا	صحيح سالم	2	N	فَعِيّ
6:133:6	شيا	أجوف	2	V	يَفَع
6:145:3	وجد	مثال	-	V	أَجِد
6:155:6	وقي	لفيف	-	V	اتَّقُفا
6:156:11	كون	أجوف	-	V	فُنَّعَ
6:157:8	كون	أجوف	-	V	فُنَّعَ
6:23:11	كون	أجوف	-	V	فُنَّعَ
6:39:13	شيا	أجوف	2	V	يَفَع
6:39:9	شيا	أجوف	2	V	يَفَع
6:72:4	وقي	لفيف	-	V	اتَّقُفهُ
6:75:9	يقن	مثال	-	N	مُوقِنِفن
6:89:6	نبا	صحيح سالم	2	N	فُعُوَّة
6:99:6	موه	أجوف	-	N	فَعَء
70:6:2	راي	ناقص	1	V	يَفَلْنَهُ
71:3:4	وقي	لفيف	-	V	اتَّقُفهُ
72:11:7	كون	أجوف	-	V	فُنَّعَ
72:16:6	موه	أجوف	-	N	فَعَء
72:22:9	وجد	مثال	-	V	أَجِد
72:9:2	كون	أجوف	-	V	فُنَّعَ
74:43:3	كون	أجوف	-	V	نَف
74:44:2	كون	أجوف	-	V	نَف
74:45:1	كون	أجوف	-	V	فُنَّعَ
74:46:1	كون	أجوف	-	V	فُنَّعَ
74:56:9	وقي	لفيف	-	N	تَقْفَى
75:37:2	كون	أجوف	-	V	يَف
76:13:1	وكا	مثال	2	N	مُتَّكِئِين
77:11:3	وقت	مثال	-	V	أُقِّتَت
77:20:4	موه	أجوف	-	N	فَعَء
77:27:6	موه	أجوف	-	N	فَعَء
77:41:2	وقي	لفيف	-	N	مُتَّقِين
78:14:4	موه	أجوف	-	N	فَعَء
78:17:5	وقت	مثال	-	N	مِيقَاتًا
78:22:2	اوب	أجوف	0	N	مَفبًع
78:31:2	وقي	لفيف	-	N	مُتَّقِين
78:39:9	اوب	أجوف	0	N	مَفبًع
79:11:2	كون	أجوف	-	V	فُنَّعَ
7:100:12	صوب	أجوف	-	V	أَفَبْنَعَهُمْ
7:105:11	جيا	أجوف	2	V	فِعْتُكُمْ
7:106:4	جيا	أجوف	2	V	فِعْتَ
7:113:9	كون	أجوف	-	V	فُنَّعَ
7:127:6	وذر	مثال	-	V	أَتَذَر
7:128:16	وقي	لفيف	-	N	مُتَّقِين
7:143:4	وقت	مثال	-	N	مِيقَاتِنَا
7:146:27	غوي	لفيف	-	N	فَعّ
7:155:13	شيا	أجوف	2	V	فِعْتَ
7:155:6	وقت	مثال	-	N	مِيقَاتِنَا
7:157:4	نبا	صحيح سالم	2	N	فَعِيّ
7:157:7	وجد	مثال	-	V	يَجِدُفنَهُ
7:158:23	نبا	صحيح سالم	2	N	فَعِيّ
7:161:10	شيا	أجوف	2	V	فِعْتُمْ
7:172:23	كون	أجوف	-	V	فُنَّعَ
7:173:8	كون	أجوف	-	V	فُنَّعَ
7:201:3	وقي	لفيف	-	V	اتَّقَفْا
7:202:4	غوي	لفيف	-	N	فَعّ
7:26:11	وقي	لفيف	-	N	تَقْفَى
7:35:11	وقي	لفيف	-	V	اتَّقَى
7:43:18	كون	أجوف	-	V	فُنَّعَ
7:50:10	موه	أجوف	-	N	فَعَء
7:53:29	كون	أجوف	-	V	فُنَّعَ
7:57:14	سوق	أجوف	-	V	فُقْنَعَهُ
