ref	root	class	hamza	pos	wazn
10:10:5	حيي	لفيف	-	N	تَفِعَّتُهُمْ
10:11:11	وذر	مثال	-	V	نَذَر
10:11:15	لقي	ناقص	-	N	فِعَاءَنَا
10:11:4	نوس	أجوف	-	N	فَّاس
10:11:5	شرر	مضاعف	-	N	فَعّ
10:12:10	قوم	أجوف	-	N	فَائِمًا
10:12:14	ضرر	مضاعف	-	N	فُعَّهُ
10:12:15	مرر	مضاعف	-	V	فَعّ
10:12:18	دعو	ناقص	-	V	يَفْعُنَا
10:12:2	مسس	مضاعف	-	V	فَعّ
10:12:20	ضرر	مضاعف	-	N	فُعّ
10:12:21	مسس	مضاعف	-	V	فَعَّهُ
10:12:26	كون	أجوف	-	V	فَانُعا
10:12:4	ضرر	مضاعف	-	N	فُعّ
10:12:5	دعو	ناقص	-	V	فَعَانَا
10:13:12	كون	أجوف	-	V	فَانُعا
10:13:13	امن	صحيح سالم	0	V	يُؤْمِنُوف
10:13:8	جيا	أجوف	2	V	فَاءَتْهُمْ
10:15:10	لقي	ناقص	-	N	فِعَاءَنَا
10:15:11	اتي	ناقص	0	V	فئْع
10:15:17	قول	أجوف	-	V	فُل
10:15:2	تلو	ناقص	-	V	فُتْعَى
10:15:24	لقي	ناقص	-	N	تِفْعَاء
10:15:33	خوف	أجوف	-	V	أَفَاف
10:15:36	ربب	مضاعف	-	N	فَعِّي
10:15:4	ايي	لفيف	0	N	فعَاتُنَا
10:15:6	قول	أجوف	-	V	فَال
10:16:1	قول	أجوف	-	V	فُل
10:16:3	شيا	أجوف	2	V	فَاء
10:16:9	دري	ناقص	-	V	أَفْعَاكُمْ
10:17:10	ايي	لفيف	0	N	فعَاتِهِ
10:18:15	قول	أجوف	-	V	فُل
10:18:16	نبا	صحيح سالم	2	V	أَتُفَعِّئُونَ
10:18:27	علو	ناقص	-	V	تَفَاعَى
10:18:7	ضرر	مضاعف	-	V	يَفُعُّهُمْ
10:19:12	ربب	مضاعف	-	N	فَعِّكَ
10:19:2	كون	أجوف	-	V	فَان
10:19:3	نوس	أجوف	-	N	فَاس
10:19:5	امم	مضاعف	0	N	فُعَّة
10:1:3	ايي	لفيف	0	N	فعَات
10:20:11	اله	صحيح سالم	0	PN	لَّه
10:20:5	ايي	لفيف	0	N	فعَة
10:20:7	ربب	مضاعف	-	N	فَعِّهِ
10:20:8	قول	أجوف	-	V	فُل
10:21:13	ايي	لفيف	0	N	فعَاتِنَا
10:21:14	قول	أجوف	-	V	فُل
10:21:2	ذوق	أجوف	-	V	أَفَقْنَا
10:21:3	نوس	أجوف	-	N	فَاس
10:21:7	ضرر	مضاعف	-	N	فَعَّاء
10:21:8	مسس	مضاعف	-	V	فَعَّتْهُمْ
10:22:14	روح	أجوف	-	N	فِيح
10:22:18	جيا	أجوف	2	V	فَاءَتْهَا
10:22:19	روح	أجوف	-	N	فِيح
10:22:21	جيا	أجوف	2	V	فَاءَهُمُ
10:22:24	كلل	مضاعف	-	N	فُعّ
10:22:25	كون	أجوف	-	N	مَفَان
10:22:26	ظنن	مضاعف	-	V	فَعُّوا
10:22:28	حوط	أجوف	-	V	أُفِيط
10:22:36	نجو	ناقص	-	V	أَفْعَيْتَنَا
10:22:5	برر	مضاعف	-	N	فَعّ
10:22:9	كون	أجوف	-	V	فُنْتُمْ
10:23:11	نوس	أجوف	-	N	فَاس
10:23:17	حيي	لفيف	-	N	فَعَاة
10:23:18	دنو	ناقص	-	ADJ	فُعْيَا
10:23:2	نجو	ناقص	-	V	أَفْعَاهُمْ
10:23:22	نبا	صحيح سالم	2	V	فُنَعِّئُكُمْ
10:23:24	كون	أجوف	-	V	فُنْتُمْ
10:23:5	بغي	ناقص	-	V	يَفْعُونَ
10:23:9	حقق	مضاعف	-	N	فَعّ
10:24:15	نوس	أجوف	-	N	فَاس
10:24:23	ظنن	مضاعف	-	V	فَعّ
10:24:28	اتي	ناقص	0	V	فَعَاهَا
10:24:3	حيي	لفيف	-	N	فَعَاة
10:24:37	غني	ناقص	-	V	تَفْع
10:24:4	دنو	ناقص	-	ADJ	فُعْيَا
10:24:41	ايي	لفيف	0	N	فعَات
10:24:5	موه	أجوف	-	N	فَاء
10:24:8	سمو	ناقص	-	N	فَعَاء
10:25:11	قوم	أجوف	-	N	مُسْتَفِيم
10:25:4	دور	أجوف	-	N	فَار
10:25:8	شيا	أجوف	2	V	يَفَاء
10:26:10	ذلل	مضاعف	-	N	فِعَّة
10:26:13	جنن	مضاعف	-	PN	فَعَّة
10:27:16	غشو	ناقص	-	V	أُفْعِيَت
10:27:24	نور	أجوف	-	N	فَار
10:27:3	سوا	أجوف	2	N	فَيِّئَات
10:27:4	جزي	ناقص	-	N	فَعَاء
10:27:5	سوا	أجوف	2	N	فَيِّئَة
10:27:8	ذلل	مضاعف	-	N	فِعَّة
10:28:13	قول	أجوف	-	V	فَال
10:28:16	كون	أجوف	-	V	فُنْتُمْ
10:28:8	كون	أجوف	-	N	مَفَانَكُمْ
10:29:7	كون	أجوف	-	V	فُنَّا
10:2:1	كون	أجوف	-	V	أَفَان
10:2:11	نوس	أجوف	-	N	فَاس
10:2:2	نوس	أجوف	-	N	فَّاس
10:2:20	ربب	مضاعف	-	N	فَعِّهِمْ
10:2:21	قول	أجوف	-	V	فَال
10:30:10	ولي	لفيف	-	N	مَفْعَاهُمُ
10:30:11	حقق	مضاعف	-	N	فَعّ
10:30:12	ضلل	مضاعف	-	V	فَعّ
10:30:15	كون	أجوف	-	V	فَانُعا
10:30:16	فري	ناقص	-	V	يَفْتَعُونَ
10:30:3	كلل	مضاعف	-	N	فُعّ
10:30:7	ردد	مضاعف	-	V	فُعُّوا
10:31:1	قول	أجوف	-	V	فُل
10:31:13	حيي	لفيف	-	N	فَعّ
10:31:15	موت	أجوف	-	N	فَيِّت
10:31:17	موت	أجوف	-	N	فَيِّت
10:31:19	حيي	لفيف	-	N	فَعّ
10:31:25	قول	أجوف	-	V	فُل
10:31:27	وقي	لفيف	-	V	تَتَّقُفنَ
10:31:5	سمو	ناقص	-	N	فَعَاء
10:32:3	ربب	مضاعف	-	N	فَعُّكُمُ
10:32:4	حقق	مضاعف	-	N	فَعّ
10:32:7	حقق	مضاعف	-	N	فَعّ
10:32:9	ضلل	مضاعف	-	N	فَعَال
10:33:10	امن	صحيح سالم	0	V	يُؤْمِنُونَ
10:33:2	حقق	مضاعف	-	V	فَعَّت
10:33:4	ربب	مضاعف	-	N	فَعِّكَ
10:34:1	قول	أجوف	-	V	فُل
10:34:10	قول	أجوف	-	V	فُل
10:34:15	عود	أجوف	-	V	يُفِيدُهُ
10:34:17	افك	صحيح سالم	0	V	تُؤْفَكُونَ
10:34:9	عود	أجوف	-	V	يُفِيدُهُ
10:35:1	قول	أجوف	-	V	فُل
10:35:12	حقق	مضاعف	-	N	فَعّ
10:35:16	حقق	مضاعف	-	N	فَعّ
10:35:17	حقق	مضاعف	-	ADJ	أَفَعّ
10:35:8	حقق	مضاعف	-	N	فَعّ
10:35:9	قول	أجوف	-	V	فُل
10:36:11	حقق	مضاعف	-	N	فَعّ
10:36:5	ظنن	مضاعف	-	N	فَعًّا
10:36:7	ظنن	مضاعف	-	N	فَعّ
10:37:2	كون	أجوف	-	V	فَان
10:37:21	ربب	مضاعف	-	N	فَعّ
10:38:10	طوع	أجوف	-	V	اسْتَفَعْتُمْ
10:38:15	كون	أجوف	-	V	فُنْتُمْ
10:38:3	فري	ناقص	-	V	افْتَعَاهُ
10:38:4	قول	أجوف	-	V	فُل
10:38:5	اتي	ناقص	0	V	فْعُوا
10:39:17	كون	أجوف	-	V	فَان
10:39:5	حوط	أجوف	-	V	يُفِيطُعا
10:39:8	اتي	ناقص	0	V	يَفْعِهِمْ
10:3:10	يوم	لفيف	-	N	أَفَّام
10:3:2	ربب	مضاعف	-	N	فَعَّكُمُ
10:3:26	ربب	مضاعف	-	N	فَعُّكُمْ
10:3:9	ستت	مضاعف	-	N	فِعَّل
10:40:10	ربب	مضاعف	-	N	فَعُّكَ
10:40:3	امن	صحيح سالم	0	V	يُؤْمِن
10:40:8	امن	صحيح سالم	0	V	يُؤْمِن
10:41:13	برا	صحيح سالم	2	N	فَعِيء
10:41:3	قول	أجوف	-	V	فُل
10:41:9	برا	صحيح سالم	2	N	فَعِيئُون
10:42:7	صمم	مضاعف	-	N	فُعّ
10:42:9	كون	أجوف	-	V	فَانُعا
10:43:9	كون	أجوف	-	V	فَانُعا
10:44:5	نوس	أجوف	-	N	فَاس
10:44:8	نوس	أجوف	-	N	فَاس
10:45:16	لقي	ناقص	-	N	فِعَاء
10:45:19	كون	أجوف	-	V	فَانُعا
10:45:7	سوع	أجوف	-	N	فَاعَة
10:46:2	راي	ناقص	1	V	نُفِيَنَّكَ
10:46:5	وعد	مثال	-	V	نَعِدُهُمْ
10:47:1	كلل	مضاعف	-	N	فُعّ
10:47:2	امم	مضاعف	0	N	فُعَّة
10:47:5	جيا	أجوف	2	V	فَاء
10:48:6	كون	أجوف	-	V	فُنْتُمْ
10:49:1	قول	أجوف	-	V	فُل
10:49:10	شيا	أجوف	2	V	فَاء
10:49:12	كلل	مضاعف	-	N	فُعّ
10:49:13	امم	مضاعف	0	N	فُعَّة
10:49:16	جيا	أجوف	2	V	فَاء
10:49:20	سوع	أجوف	-	N	فَاعَة
10:49:5	ضرر	مضاعف	-	N	فَعًّا
10:4:11	عود	أجوف	-	V	يُفِيدُهُ
10:4:23	حمم	مضاعف	-	N	فَعِيل
10:4:27	كون	أجوف	-	V	فَانُعا
10:4:6	حقق	مضاعف	-	N	فَعًّا
10:50:1	قول	أجوف	-	V	فُل
10:50:4	اتي	ناقص	0	V	فَعَاكُمْ
10:51:9	كون	أجوف	-	V	فُنْتُمْ
10:52:12	كون	أجوف	-	V	فُنْتُمْ
10:52:2	قول	أجوف	-	V	فِيل
10:52:9	جزي	ناقص	-	V	تُفْعَوْنَ
10:53:1	نبا	صحيح سالم	2	V	يَسْتَفْعِئُونَكَ
10:53:2	حقق	مضاعف	-	N	أَفَعّ
10:53:4	قول	أجوف	-	V	فُل
10:53:6	ربب	مضاعف	-	N	فَعِّي
10:53:8	حقق	مضاعف	-	N	فَعّ
10:54:11	سرر	مضاعف	-	V	أَفَعُّوا
10:54:14	راي	ناقص	1	V	فَعَوُا
10:54:3	كلل	مضاعف	-	N	فُعّ
10:54:9	فدي	ناقص	-	V	افْتَعَت
10:55:12	حقق	مضاعف	-	N	فَعّ
10:55:3	اله	صحيح سالم	0	PN	لَّه
10:56:2	حيي	لفيف	-	V	يُفْعِل
10:56:3	موت	أجوف	-	V	يُفِيت
10:57:14	امن	صحيح سالم	0	N	مُؤْمِنِين
10:57:2	نوس	أجوف	-	N	فَاس
10:57:4	جيا	أجوف	2	V	فَاءَتْكُمْ
10:57:7	ربب	مضاعف	-	N	فَعِّكُمْ
10:57:8	شفي	ناقص	-	N	فِعَاء
10:58:1	قول	أجوف	-	V	فُل
10:59:1	قول	أجوف	-	V	فُل
10:59:12	حلل	مضاعف	-	N	فَعَالًا
10:59:13	قول	أجوف	-	V	فُل
10:59:20	فري	ناقص	-	V	تَفْتَعُونَ
10:5:11	عدد	مضاعف	-	N	فَعَل
10:5:12	سنو	ناقص	-	N	فِعِين
10:5:19	حقق	مضاعف	-	N	فَعّ
10:5:21	ايي	لفيف	0	N	فعَات
10:5:5	ضوا	أجوف	2	N	فِيَاء
10:60:15	نوس	أجوف	-	N	فَاس
10:60:2	ظنن	مضاعف	-	N	فَعّ
10:60:4	فري	ناقص	-	V	يَفْتَعُونَ
10:60:9	قوم	أجوف	-	N	فِيَامَة
10:61:15	كون	أجوف	-	V	فُنَّا
10:61:24	ربب	مضاعف	-	N	فَعِّكَ
10:61:27	ذرر	مضاعف	-	N	فَعَّة
10:61:32	سمو	ناقص	-	N	فَعَاء
10:63:3	كون	أجوف	-	V	فَانُعا
10:63:4	وقي	لفيف	-	V	يَتَّقُفنَ
10:64:4	حيي	لفيف	-	N	فَعَاة
10:64:5	دنو	ناقص	-	ADJ	فُعْيَا
10:65:5	عزز	مضاعف	-	N	فِعَّة
10:65:6	اله	صحيح سالم	0	PN	لَّه
10:66:21	ظنن	مضاعف	-	N	فَعّ
10:66:3	اله	صحيح سالم	0	PN	لَّه
10:67:13	ايي	لفيف	0	N	فعَات
10:68:1	قول	أجوف	-	V	فَالُعا
10:69:1	قول	أجوف	-	V	فُل
10:69:4	فري	ناقص	-	V	يَفْتَعُونَ
10:6:12	ايي	لفيف	0	N	فعَات
10:6:14	وقي	لفيف	-	V	يَتَّقُفنَ
10:70:10	شدد	مضاعف	-	ADJ	فَعِيل
10:70:12	كون	أجوف	-	V	فَانُعا
10:70:3	دنو	ناقص	-	N	فُعْيَا
10:70:8	ذوق	أجوف	-	V	نُفِيقُهُمُ
10:71:1	تلو	ناقص	-	V	افْع
10:71:10	كون	أجوف	-	V	فَان
10:71:13	قوم	أجوف	-	N	مَفَامِي
10:71:15	ايي	لفيف	0	N	فعَات
10:71:25	كون	أجوف	-	V	يَفُن
10:71:28	غمم	مضاعف	-	N	فُعَّة
10:71:30	قضي	ناقص	-	V	افْعُوا
10:71:6	قول	أجوف	-	V	فَال
10:73:12	ايي	لفيف	0	N	فعَاتِنَا
10:73:15	كون	أجوف	-	V	فَان
10:73:2	نجو	ناقص	-	V	فَعَّيْنَاهُ
10:74:11	كون	أجوف	-	V	فَانُعا
10:74:12	امن	صحيح سالم	0	V	يُؤْمِنُوف
10:74:22	عدو	ناقص	-	N	مُفْتَعِين
10:74:8	جيا	أجوف	2	V	فَاءُوهُمْ
10:75:10	ايي	لفيف	0	N	فعَاتِنَا
10:75:12	كون	أجوف	-	V	فَانُعا
10:75:9	ملا	صحيح سالم	2	N	فَعَئِهِ
10:76:2	جيا	أجوف	2	V	فَاءَهُمُ
10:76:3	حقق	مضاعف	-	N	فَعّ
10:76:6	قول	أجوف	-	V	فَالُعا
10:77:1	قول	أجوف	-	V	فَال
10:77:4	حقق	مضاعف	-	N	فَعّ
10:77:6	جيا	أجوف	2	V	فَاءَكُمْ
10:78:1	قول	أجوف	-	V	فَالُعا
10:78:16	امن	صحيح سالم	0	N	مُؤْمِنِين
10:78:2	جيا	أجوف	2	V	أَفِئْتَنَا
10:78:7	ابو	ناقص	0	N	فعَاءَنَا
10:79:1	قول	أجوف	-	V	فَال
10:79:4	كلل	مضاعف	-	N	فُعّ
10:7:14	ايي	لفيف	0	N	فعَاتِنَا
10:7:5	لقي	ناقص	-	N	فِعَاءَنَا
10:7:7	حيي	لفيف	-	N	فَعَاة
10:7:8	دنو	ناقص	-	ADJ	فُعْيَا
10:80:10	لقي	ناقص	-	N	مُفْعُون
10:80:2	جيا	أجوف	2	V	فَاء
10:80:4	قول	أجوف	-	V	فَال
10:80:7	لقي	ناقص	-	V	أَفْعُوا
10:81:2	لقي	ناقص	-	V	أَفْعَوْا
10:81:3	قول	أجوف	-	V	فَال
10:81:6	جيا	أجوف	2	V	فِئْتُمْ
10:82:1	حقق	مضاعف	-	V	يُفِعّ
10:82:3	حقق	مضاعف	-	N	فَعّ
10:83:12	ملا	صحيح سالم	2	N	فَعَئِهِمْ
10:83:17	علو	ناقص	-	N	فَاع
10:83:5	ذرر	مضاعف	-	N	فُعِّيَّة
10:84:1	قول	أجوف	-	V	فَال
10:84:11	كون	أجوف	-	V	فُنْتُمْ
10:84:5	كون	أجوف	-	V	فُنْتُمْ
10:85:1	قول	أجوف	-	V	فَالُعا
10:85:5	ربب	مضاعف	-	N	فَعَّنَا
10:86:1	نجو	ناقص	-	V	فَعِّنَا
10:87:13	قوم	أجوف	-	V	أَفِيمُعا
10:87:14	صلو	ناقص	-	N	فَعَاة
10:87:16	امن	صحيح سالم	0	N	مُؤْمِنِين
10:87:4	اخو	ناقص	0	N	فَعِيهِ
10:88:1	قول	أجوف	-	V	فَال
10:88:11	حيي	لفيف	-	N	فَعَاة
10:88:12	دنو	ناقص	-	ADJ	فُعْيَا
10:88:13	ربب	مضاعف	-	N	فَعَّنَا
10:88:14	ضلل	مضاعف	-	V	يُفِعُّوا
10:88:17	ربب	مضاعف	-	N	فَعَّنَا
10:88:21	شدد	مضاعف	-	V	افْعُل
10:88:25	امن	صحيح سالم	0	V	يُؤْمِنُوف
10:88:27	راي	ناقص	1	V	يَفَوُع
10:88:3	ربب	مضاعف	-	N	فَعَّنَا
10:89:1	قول	أجوف	-	V	فَال
10:89:3	جوب	أجوف	-	V	أُفِيبَت
10:89:5	قوم	أجوف	-	V	اسْتَفِيمَا
10:8:2	اوي	لفيف	0	N	مَفْعَاهُمُ
10:8:3	نور	أجوف	-	N	فَار
10:8:5	كون	أجوف	-	V	فَانُعا
10:90:14	قول	أجوف	-	V	فَال
10:90:23	بني	ناقص	-	N	فَعُو
10:91:5	كون	أجوف	-	V	فُنْتَ
10:92:11	نوس	أجوف	-	N	فَاس
10:92:13	ايي	لفيف	0	N	فعَاتِنَا
10:92:2	نجو	ناقص	-	V	فُنَعِّيكَ
10:92:7	ايي	لفيف	0	N	فعَة
10:93:13	جيا	أجوف	2	V	فَاءَهُمُ
10:93:16	ربب	مضاعف	-	N	فَعَّكَ
10:93:20	قوم	أجوف	-	N	فِيَامَة
10:93:22	كون	أجوف	-	V	فَانُعا
10:94:10	قرا	صحيح سالم	2	V	يَفْعَءُونَ
10:94:15	جيا	أجوف	2	V	فَاءَكَ
10:94:16	حقق	مضاعف	-	N	فَعّ
10:94:18	ربب	مضاعف	-	N	فَعِّكَ
10:94:2	كون	أجوف	-	V	فُنْتَ
10:94:4	شكك	مضاعف	-	N	فَعّ
10:95:6	ايي	لفيف	0	N	فعَات
10:96:3	حقق	مضاعف	-	V	فَعَّت
10:96:6	ربب	مضاعف	-	N	فَعِّكَ
10:96:8	امن	صحيح سالم	0	V	يُؤْمِنُونَ
10:97:2	جيا	أجوف	2	V	فَاءَتْهُمْ
10:97:3	كلل	مضاعف	-	N	فُعّ
10:97:4	ايي	لفيف	0	N	فعَة
10:97:6	راي	ناقص	1	V	يَفَوُع
10:98:17	حيي	لفيف	-	N	فَعَاة
10:98:18	دنو	ناقص	-	ADJ	فُعْيَا
10:98:2	كون	أجوف	-	V	فَانَت
10:99:12	نوس	أجوف	-	N	فَاس
10:99:15	امن	صحيح سالم	0	N	مُؤْمِنِين
10:99:2	شيا	أجوف	2	V	فَاء
10:99:3	ربب	مضاعف	-	N	فَعُّكَ
10:99:8	كلل	مضاعف	-	N	فُعُّهُمْ
10:9:14	جنن	مضاعف	-	N	فَعَّات
10:9:7	ربب	مضاعف	-	N	فَعُّهُمْ
110:1:2	جيا	أجوف	2	V	فَاء
110:2:2	نوس	أجوف	-	N	فَاس
110:3:3	ربب	مضاعف	-	N	فَعِّكَ
110:3:6	كون	أجوف	-	V	فَان
111:1:1	تبب	مضاعف	-	V	فَعَّت
111:1:2	يدي	لفيف	-	N	فَعَا
111:1:3	ابو	ناقص	0	N	فَعِي
111:1:5	تبب	مضاعف	-	V	فَعّ
111:2:4	مول	أجوف	-	N	فَالُهُ
111:3:2	نور	أجوف	-	N	فَارًا
112:1:1	قول	أجوف	-	V	فُل
112:3:2	ولد	مثال	-	V	يَلِد
112:4:2	كون	أجوف	-	V	يَفُن
113:1:1	قول	أجوف	-	V	فُل
113:1:3	ربب	مضاعف	-	N	فَعّ
113:2:2	شرر	مضاعف	-	N	فَعّ
113:3:2	شرر	مضاعف	-	N	فَعّ
113:4:2	شرر	مضاعف	-	N	فَعّ
113:5:2	شرر	مضاعف	-	N	فَعّ
114:1:1	قول	أجوف	-	V	فُل
114:1:3	ربب	مضاعف	-	N	فَعّ
114:1:4	نوس	أجوف	-	N	فَاس
114:2:2	نوس	أجوف	-	N	فَاس
114:3:2	نوس	أجوف	-	N	فَاس
114:4:2	شرر	مضاعف	-	N	فَعّ
114:5:5	نوس	أجوف	-	N	فَاس
114:6:2	جنن	مضاعف	-	N	فِعَّة
114:6:3	نوس	أجوف	-	N	فَاس
11:100:5	قصص	مضاعف	-	V	نَفُعُّهُ
11:100:8	قوم	أجوف	-	N	فَائِم
11:101:16	شيا	أجوف	2	N	فَعْء
11:101:18	جيا	أجوف	2	V	فَاء
11:101:20	ربب	مضاعف	-	N	فَعِّكَ
11:101:22	زيد	أجوف	-	V	فَادُوهُمْ
11:101:24	تبب	مضاعف	-	N	فَتْعِيل
11:101:7	غني	ناقص	-	V	أَفْعَت
11:102:12	شدد	مضاعف	-	ADJ	فَعِيل
11:102:3	ربب	مضاعف	-	N	فَعِّكَ
11:103:13	نوس	أجوف	-	N	فَاس
11:103:4	ايي	لفيف	0	N	فعَة
11:103:6	خوف	أجوف	-	V	فَاف
11:104:2	اخر	صحيح سالم	0	V	نُؤَخِّرُهُ
11:104:5	عدد	مضاعف	-	N	مَفْعُول
11:105:2	اتي	ناقص	0	V	يَفْع
11:105:9	شقو	ناقص	-	N	فَعِيّ
11:106:5	نور	أجوف	-	N	فَار
11:107:10	ربب	مضاعف	-	N	فَعُّكَ
11:107:12	ربب	مضاعف	-	N	فَعَّكَ
11:107:15	رود	أجوف	-	V	يُفِيد
11:107:4	دوم	أجوف	-	V	فَامَت
11:107:9	شيا	أجوف	2	V	فَاء
11:108:14	شيا	أجوف	2	V	فَاء
11:108:15	ربب	مضاعف	-	N	فَعُّكَ
11:108:16	عطو	ناقص	-	N	فَعَاء
11:108:18	جذذ	مضاعف	-	N	مَفْعُول
11:108:5	جنن	مضاعف	-	PN	فَعَّة
11:108:9	دوم	أجوف	-	V	فَامَت
11:109:13	ابو	ناقص	0	N	فعَاؤُهُمْ
11:109:17	وفي	لفيف	-	N	مُفَعُّوهُمْ
11:109:2	كون	أجوف	-	V	تَف
11:10:2	ذوق	أجوف	-	V	أَفَقْنَاهُ
11:10:5	ضرر	مضاعف	-	N	فَعَّاء
11:10:6	مسس	مضاعف	-	V	فَعَّتْهُ
11:10:9	سوا	أجوف	2	N	فَيِّئَات
11:110:11	ربب	مضاعف	-	N	فَعِّكَ
11:110:16	شكك	مضاعف	-	N	فَعّ
11:111:2	كلل	مضاعف	-	N	فُعًّا
11:111:5	ربب	مضاعف	-	N	فَعُّكَ
11:112:1	قوم	أجوف	-	V	اسْتَفِم
11:112:5	توب	أجوف	-	V	فَاب
11:112:8	طغي	ناقص	-	V	تَفْعَوْا
11:113:6	مسس	مضاعف	-	V	تَفَعَّكُمُ
11:113:7	نور	أجوف	-	N	فَار
11:114:1	قوم	أجوف	-	V	أَفِم
11:114:11	سوا	أجوف	2	N	فَيِّئَات
11:114:2	صلو	ناقص	-	N	فَعَاة
11:116:15	قلل	مضاعف	-	N	فَعِيلًا
11:116:17	نجو	ناقص	-	V	أَفْعَيْنَا
11:116:2	كون	أجوف	-	V	فَان
11:116:25	كون	أجوف	-	V	فَانُعا
11:116:9	نهي	ناقص	-	V	يَفْعَوْنَ
11:117:2	كون	أجوف	-	V	فَان
11:117:3	ربب	مضاعف	-	N	فَعُّكَ
11:118:2	شيا	أجوف	2	V	فَاء
11:118:3	ربب	مضاعف	-	N	فَعُّكَ
11:118:5	نوس	أجوف	-	N	فَاس
11:118:6	امم	مضاعف	0	N	فُعَّة
11:118:9	زيل	أجوف	-	V	يَفَالُونَ
11:119:13	جنن	مضاعف	-	N	فِعَّة
11:119:14	نوس	أجوف	-	N	فَاس
