ref	word	relation	relation_ar	reason
2:33:9	أَلَمْ	intg	استفهام	non-nominal-pos:NEG:استفهام
2:34:7	إِلَّآ	root	root	non-nominal-pos:EXP:root
2:35:10	حَيْثُ	link	متعلق	no-case:متعلق:LOC
2:35:12	وَلَا	root	root	non-nominal-pos:PRO:root
2:36:10	بَعْضُكُمْ	circ	حال	case-conflict:حال
2:38:5	فَإِمَّا	root	root	non-nominal-pos:COND:root
2:38:9	فَمَن	rslt	جواب الشرط	non-nominal-pos:COND:جواب الشرط
2:38:12	فَلَا	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
2:38:13	خَوْفٌ	subj <<la>>	اسم لا	case-conflict:اسم لا
2:38:15	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:41:7	وَلَا	root	root	non-nominal-pos:PRO:root
2:41:12	وَلَا	root	root	non-nominal-pos:PRO:root
2:42:1	وَلَا	root	root	non-nominal-pos:PRO:root
2:44:9	أَفَلَا	intg	استفهام	non-nominal-pos:NEG:استفهام
2:45:6	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
2:46:6	وَأَنَّهُمْ	conj	معطوف	tabi-non-nominal:ACC:معطوف
2:48:3	لَّا	Adj	صفة	tabi-non-nominal:NEG:صفة
2:48:9	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:48:13	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:48:17	وَلَا	root	root	non-nominal-pos:NEG:root
2:48:18	هُمْ	neg	نفي	no-case:نفي:PRON
2:49:1	وَإِذْ	link	متعلق	no-case:متعلق:T
2:50:1	وَإِذْ	link	متعلق	no-case:متعلق:T
2:51:1	وَإِذْ	link	متعلق	no-case:متعلق:T
2:53:1	وَإِذْ	link	متعلق	no-case:متعلق:T
2:54:1	وَإِذْ	link	متعلق	no-case:متعلق:T
2:55:1	وَإِذْ	link	متعلق	no-case:متعلق:T
2:55:4	لَن	root	root	non-nominal-pos:NEG:root
2:57:13	وَمَا	root	root	non-nominal-pos:NEG:root
2:57:15	وَلَٰكِن	root	root	non-nominal-pos:AMD:root
2:58:1	وَإِذْ	link	متعلق	no-case:متعلق:T
2:58:8	حَيْثُ	link	متعلق	no-case:متعلق:LOC
2:60:1	وَإِذِ	link	متعلق	no-case:متعلق:T
2:60:14	قَدْ	root	root	non-nominal-pos:CERT:root
2:60:24	وَلَا	root	root	non-nominal-pos:PRO:root
2:61:1	وَإِذْ	link	متعلق	no-case:متعلق:T
2:61:4	لَن	root	root	non-nominal-pos:NEG:root
2:61:26	هُوَ	sub	صلة	no-case:صلة:PRON
2:61:29	هُوَ	sub	صلة	no-case:صلة:PRON
2:62:8	مَنْ	pred<<in>>	خبر إن	non-nominal-pos:COND:خبر إن
2:62:19	وَلَا	root	root	non-nominal-pos:NEG:root
2:62:22	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:62:23	هُمْ	neg	نفي	no-case:نفي:PRON
2:63:1	وَإِذْ	link	متعلق	no-case:متعلق:T
2:64:6	فَلَوْلَا	root	root	non-nominal-pos:COND:root
2:65:1	وَلَقَدْ	root	root	non-nominal-pos:CERT:root
2:67:1	وَإِذْ	link	متعلق	no-case:متعلق:T
2:67:8	أَن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
2:67:17	أَنْ	root	root	non-nominal-pos:SUB:root
2:68:7	مَا	Pred	خبر	non-nominal-pos:INTG:خبر
2:68:14	لَّا	neg	نفي	non-nominal-pos:NEG:نفي
2:68:16	وَلَا	neg	نفي	non-nominal-pos:NEG:نفي
2:69:7	مَا	Pred	خبر	non-nominal-pos:INTG:خبر
2:69:8	لَوْنُهَا	Obj	مفعول به	case-conflict:مفعول به
2:70:7	مَا	Pred	خبر	non-nominal-pos:INTG:خبر
2:70:14	إِن	root	root	non-nominal-pos:COND:root
2:71:6	لَّا	neg	نفي	non-nominal-pos:NEG:نفي
2:71:10	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:71:14	لَّا	root	root	non-nominal-pos:NEG:root
2:71:22	وَمَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:74:19	وَإِنَّ	conj	معطوف	tabi-non-nominal:ACC:معطوف
2:74:26	وَإِنَّ	conj	معطوف	tabi-non-nominal:ACC:معطوف
2:74:33	وَمَا	root	root	non-nominal-pos:NEG:root
2:75:2	أَن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
2:75:5	وَقَدْ	root	root	non-nominal-pos:CERT:root
2:76:14	بِمَا	gen	مجرور	non-nominal-pos:SUB:مجرور
2:76:22	أَفَلَا	intg	استفهام	non-nominal-pos:NEG:استفهام
2:77:1	أَوَلَا	intg	استفهام	non-nominal-pos:NEG:استفهام
2:78:3	لَا	Adj	صفة	tabi-non-nominal:NEG:صفة
2:78:6	إِلَّآ	root	root	non-nominal-pos:EXP:root
2:78:8	وَإِنْ	root	root	non-nominal-pos:NEG:root
2:78:9	هُمْ	neg	نفي	no-case:نفي:PRON
2:78:10	إِلَّا	exp	مستثني	non-nominal-pos:EXP:مستثني
2:80:2	لَن	Obj	مفعول به	non-nominal-pos:NEG:مفعول به
2:80:4	ٱلنَّارُ	Subj	مفعول به	case-conflict:مفعول به
2:80:5	إِلَّآ	root	root	non-nominal-pos:EXP:root
2:80:13	فَلَن	root	root	non-nominal-pos:NEG:root
2:80:22	لَا	sub	صلة	non-nominal-pos:NEG:صلة
2:81:1	بَلَىٰ	root	root	non-nominal-pos:ANS:root
2:81:2	مَن	ans	جواب	non-nominal-pos:COND:جواب
2:81:8	فَأُو۟لَٰٓئِكَ	rslt	جواب الشرط	no-case:جواب الشرط:DEM
2:83:1	وَإِذْ	link	متعلق	no-case:متعلق:T
2:83:6	لَا	root	root	non-nominal-pos:NEG:root
2:83:8	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
2:83:25	إِلَّا	root	root	non-nominal-pos:EXP:root
2:84:1	وَإِذْ	link	متعلق	no-case:متعلق:T
2:84:4	لَا	root	root	non-nominal-pos:NEG:root
2:84:7	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:85:15	وَإِن	root	root	non-nominal-pos:COND:root
2:85:28	فَمَا	root	root	non-nominal-pos:NEG:root
2:85:34	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
2:85:45	وَمَا	root	root	non-nominal-pos:NEG:root
2:86:7	فَلَا	root	root	non-nominal-pos:NEG:root
2:86:11	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:86:12	هُمْ	neg	نفي	no-case:نفي:PRON
2:87:1	وَلَقَدْ	root	root	non-nominal-pos:CERT:root
2:87:17	أَفَكُلَّمَا	intg	استفهام	no-case:استفهام:T
2:87:19	رَسُولٌۢ	Subj	مفعول به	case-conflict:مفعول به
2:87:21	لَا	sub	صلة	non-nominal-pos:NEG:صلة
2:88:2	قُلُوبُنَا	Obj	مفعول به	case-conflict:مفعول به
2:88:4	بَل	root	root	non-nominal-pos:RET:root
2:90:5	أَن	root	root	non-nominal-pos:SUB:root
2:90:11	أَن	root	root	non-nominal-pos:SUB:root
2:91:22	فَلِمَ	gen	مجرور	non-nominal-pos:INTG:مجرور
2:91:28	إِن	root	root	non-nominal-pos:COND:root
2:92:1	وَلَقَدْ	root	root	non-nominal-pos:CERT:root
2:93:1	وَإِذْ	link	متعلق	no-case:متعلق:T
2:93:25	إِن	root	root	non-nominal-pos:COND:root
2:94:2	إِن	Obj	مفعول به	non-nominal-pos:COND:مفعول به
2:94:15	إِن	root	root	non-nominal-pos:COND:root
2:95:1	وَلَن	root	root	non-nominal-pos:NEG:root
2:96:11	لَوْ	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
2:96:15	وَمَا	root	root	non-nominal-pos:NEG:root
2:96:20	أَن	Subj	فاعل	non-nominal-pos:SUB:فاعل
2:97:2	مَن	Obj	مفعول به	non-nominal-pos:COND:مفعول به
2:98:1	مَن	root	root	non-nominal-pos:COND:root
2:99:1	وَلَقَدْ	root	root	non-nominal-pos:CERT:root
2:99:6	وَمَا	root	root	non-nominal-pos:NEG:root
2:99:9	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
2:100:1	أَوَكُلَّمَا	intg	استفهام	no-case:استفهام:T
2:100:7	بَلْ	root	root	non-nominal-pos:RET:root
2:100:9	لَا	Pred	خبر	non-nominal-pos:NEG:خبر
2:101:21	لَا	pred <<ka'ana>>	خبر كأن	non-nominal-pos:NEG:خبر كأن
2:102:8	وَمَا	root	root	non-nominal-pos:NEG:root
2:102:24	وَمَا	root	root	non-nominal-pos:NEG:root
2:102:33	فَلَا	root	root	non-nominal-pos:NEG:root
2:102:43	وَمَا	root	root	non-nominal-pos:NEG:root
2:102:47	مِنْ	Obj	مفعول به	prep-in-nominal-slot:مفعول به
2:102:49	إِلَّا	exp	مستثني	non-nominal-pos:EXP:مستثني
2:102:55	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:102:57	وَلَقَدْ	root	root	non-nominal-pos:CERT:root
2:102:59	لَمَنِ	Obj	مفعول به	non-nominal-pos:COND:مفعول به
2:102:61	مَا	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
2:102:72	لَوْ	root	root	non-nominal-pos:COND:root
2:103:1	وَلَوْ	root	root	non-nominal-pos:COND:root
2:103:10	لَّوْ	root	root	non-nominal-pos:COND:root
2:104:4	لَا	root	root	non-nominal-pos:PRO:root
2:105:1	مَّا	root	root	non-nominal-pos:NEG:root
2:105:8	وَلَا	emph	توكيد	tabi-non-nominal:NEG:توكيد
2:105:10	أَن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
2:106:1	مَا	root	root	non-nominal-pos:COND:root
2:106:12	أَلَمْ	intg	استفهام	non-nominal-pos:NEG:استفهام
2:107:1	أَلَمْ	intg	استفهام	non-nominal-pos:NEG:استفهام
2:107:9	وَمَا	root	root	non-nominal-pos:NEG:root
2:107:16	وَلَا	emph	توكيد	tabi-non-nominal:NEG:توكيد
2:108:3	أَن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
2:108:6	كَمَا	gen	مجرور	non-nominal-pos:SUB:مجرور
2:108:11	وَمَن	root	root	non-nominal-pos:COND:root
2:108:15	فَقَدْ	rslt	جواب الشرط	non-nominal-pos:CERT:جواب الشرط
2:109:6	لَوْ	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
2:110:5	وَمَا	root	root	non-nominal-pos:COND:root
2:111:2	لَن	Obj	مفعول به	non-nominal-pos:NEG:مفعول به
2:111:5	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
2:111:16	إِن	root	root	non-nominal-pos:COND:root
2:112:1	بَلَىٰ	root	root	non-nominal-pos:ANS:root
2:112:2	مَنْ	ans	جواب	non-nominal-pos:COND:جواب
2:112:12	وَلَا	root	root	non-nominal-pos:NEG:root
2:112:15	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:112:16	هُمْ	neg	نفي	no-case:نفي:PRON
2:113:19	لَا	sub	صلة	non-nominal-pos:NEG:صلة
2:114:1	وَمَنْ	root	root	non-nominal-pos:INTG:root
2:114:7	أَن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
2:114:15	مَا	Pred	خبر	non-nominal-pos:NEG:خبر
2:114:18	أَن	subj <<kan>>	اسم كان	non-nominal-pos:SUB:اسم كان
2:114:20	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
2:115:4	فَأَيْنَمَا	root	root	non-nominal-pos:COND:root
2:115:6	فَثَمَّ	link	متعلق	no-case:متعلق:LOC
2:116:6	بَل	root	root	non-nominal-pos:RET:root
2:116:8	مَا	ret	اضراب	no-case:اضراب:REL
2:118:3	لَا	sub	صلة	non-nominal-pos:NEG:صلة
2:118:5	لَوْلَا	Obj	مفعول به	non-nominal-pos:EXH:مفعول به
2:118:20	قَدْ	root	root	non-nominal-pos:CERT:root
2:119:6	وَلَا	root	root	non-nominal-pos:NEG:root
2:120:1	وَلَن	root	root	non-nominal-pos:NEG:root
2:120:5	وَلَا	neg	نفي	non-nominal-pos:NEG:نفي
2:120:16	وَلَئِنِ	root	root	non-nominal-pos:COND:root
2:120:24	مَا	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
2:120:30	وَلَا	neg	نفي	non-nominal-pos:NEG:نفي
2:121:10	وَمَن	root	root	non-nominal-pos:COND:root
2:121:13	فَأُو۟لَٰٓئِكَ	rslt	جواب الشرط	no-case:جواب الشرط:DEM
2:123:3	لَّا	Adj	صفة	tabi-non-nominal:NEG:صفة
2:123:9	وَلَا	root	root	non-nominal-pos:NEG:root
2:123:13	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:123:16	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:123:17	هُمْ	neg	نفي	no-case:نفي:PRON
2:124:1	وَإِذِ	link	متعلق	no-case:متعلق:T
2:124:3	إِبْرَٰهِۦمَ	Obj	فاعل	case-conflict:فاعل
2:124:16	لَا	Obj	مفعول به	non-nominal-pos:NEG:مفعول به
2:125:1	وَإِذْ	link	متعلق	no-case:متعلق:T
2:125:16	أَن	root	root	non-nominal-pos:INT:root
2:126:1	وَإِذْ	link	متعلق	no-case:متعلق:T
2:126:20	وَمَن	Obj	مفعول به	non-nominal-pos:COND:مفعول به
2:127:1	وَإِذْ	link	متعلق	no-case:متعلق:T
2:130:1	وَمَن	root	root	non-nominal-pos:INTG:root
2:130:6	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
2:130:10	وَلَقَدِ	root	root	non-nominal-pos:CERT:root
2:131:1	إِذْ	link	متعلق	no-case:متعلق:T
2:132:12	فَلَا	root	root	non-nominal-pos:NEG:root
2:132:14	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
2:133:4	إِذْ	link	متعلق	no-case:متعلق:T
2:133:8	إِذْ	link	متعلق	no-case:متعلق:T
2:133:11	مَا	Obj	مفعول به	non-nominal-pos:INTG:مفعول به
2:134:3	قَدْ	Adj	صفة	tabi-non-nominal:CERT:صفة
2:134:11	وَلَا	root	root	non-nominal-pos:NEG:root
2:135:8	بَلْ	Obj	مفعول به	non-nominal-pos:RET:مفعول به
2:135:12	وَمَا	root	root	non-nominal-pos:NEG:root
2:136:24	لَا	root	root	non-nominal-pos:NEG:root
2:137:1	فَإِنْ	root	root	non-nominal-pos:COND:root
2:137:7	فَقَدِ	rslt	جواب الشرط	non-nominal-pos:CERT:جواب الشرط
2:137:9	وَّإِن	conj	معطوف	tabi-non-nominal:COND:معطوف
2:138:3	وَمَنْ	root	root	non-nominal-pos:INTG:root
2:140:14	ءَأَنتُمْ	intg	استفهام	no-case:استفهام:PRON
2:140:18	وَمَنْ	root	root	non-nominal-pos:INTG:root
2:140:26	وَمَا	root	root	non-nominal-pos:NEG:root
2:141:3	قَدْ	Adj	صفة	tabi-non-nominal:CERT:صفة
2:141:11	وَلَا	root	root	non-nominal-pos:NEG:root
2:142:5	مَا	root	root	non-nominal-pos:INTG:root
2:142:14	ٱلْمَشْرِقُ	Obj	مفعول به	case-conflict:مفعول به
2:143:13	وَمَا	root	root	non-nominal-pos:NEG:root
2:143:19	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
2:143:28	وَإِن	root	root	non-nominal-pos:CERT:root
2:143:31	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
2:143:36	وَمَا	root	root	non-nominal-pos:NEG:root
2:144:1	قَدْ	root	root	non-nominal-pos:CERT:root
2:144:15	وَحَيْثُ	root	root	non-nominal-pos:COND:root
2:144:16	مَا	sup	زائد	non-nominal-pos:SUP:زائد
2:144:30	وَمَا	root	root	non-nominal-pos:NEG:root
2:145:1	وَلَئِنْ	root	root	non-nominal-pos:COND:root
2:145:8	مَّا	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
2:145:11	وَمَآ	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:145:12	أَنتَ	neg	نفي	no-case:نفي:PRON
2:145:15	وَمَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:145:20	وَلَئِنِ	conj	معطوف	tabi-non-nominal:COND:معطوف
2:145:30	إِذًا	rslt	جواب الشرط	non-nominal-pos:ANS:جواب الشرط
2:146:5	كَمَا	gen	مجرور	non-nominal-pos:SUB:مجرور
2:147:2	مِن	Pred	خبر	prep-in-nominal-slot:خبر
2:147:4	فَلَا	root	root	non-nominal-pos:NEG:root
2:148:7	أَيْنَ	root	root	non-nominal-pos:COND:root
2:148:8	مَا	sup	زائد	non-nominal-pos:SUP:زائد
2:149:13	وَمَا	root	root	non-nominal-pos:NEG:root
2:150:9	وَحَيْثُ	root	root	non-nominal-pos:COND:root
2:150:10	مَا	sup	زائد	non-nominal-pos:SUP:زائد
2:150:15	لِئَلَّا	sub	صلة	non-nominal-pos:SUB:صلة
2:150:20	إِلَّا	root	root	non-nominal-pos:EXP:root
2:150:24	فَلَا	root	root	non-nominal-pos:PRO:root
2:151:1	كَمَآ	gen	مجرور	non-nominal-pos:SUB:مجرور
2:151:15	لَمْ	sub	صلة	non-nominal-pos:NEG:صلة
2:152:5	وَلَا	root	root	non-nominal-pos:PRO:root
2:154:1	وَلَا	root	root	non-nominal-pos:PRO:root
2:154:9	بَلْ	root	root	non-nominal-pos:RET:root
2:154:11	وَلَٰكِن	root	root	non-nominal-pos:AMD:root
2:154:12	لَّا	Pred	خبر	non-nominal-pos:NEG:خبر
2:156:2	إِذَآ	sub	صلة	no-case:صلة:T
2:156:8	وَإِنَّآ	conj	معطوف	tabi-non-nominal:ACC:معطوف
2:158:7	فَمَنْ	root	root	non-nominal-pos:COND:root
2:158:12	فَلَا	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
2:158:15	أَن	link	متعلق	non-nominal-pos:SUB:متعلق
2:158:18	وَمَن	conj	معطوف	tabi-non-nominal:COND:معطوف
2:160:1	إِلَّا	root	root	non-nominal-pos:EXP:root
2:162:3	لَا	root	root	non-nominal-pos:NEG:root
2:162:7	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:162:8	هُمْ	neg	نفي	no-case:نفي:PRON
2:163:4	لَّآ	root	root	non-nominal-pos:NEG:root
2:163:6	إِلَّا	exp	مستثني	non-nominal-pos:EXP:مستثني
2:165:17	وَلَوْ	root	root	non-nominal-pos:COND:root
2:165:21	إِذْ	link	متعلق	no-case:متعلق:T
2:165:28	وَأَنَّ	conj	معطوف	tabi-non-nominal:ACC:معطوف
2:166:1	إِذْ	link	متعلق	no-case:متعلق:T
2:167:4	لَوْ	Obj	مفعول به	non-nominal-pos:COND:مفعول به
2:167:10	كَمَا	gen	مجرور	non-nominal-pos:SUB:مجرور
2:167:19	وَمَا	root	root	non-nominal-pos:NEG:root
2:168:9	وَلَا	root	root	non-nominal-pos:PRO:root
2:169:5	وَأَن	root	root	non-nominal-pos:SUB:root
2:169:10	لَا	sub	صلة	non-nominal-pos:NEG:صلة
2:170:9	بَلْ	Obj	مفعول به	non-nominal-pos:RET:مفعول به
2:170:15	أَوَلَوْ	intg	استفهام	non-nominal-pos:SUB:استفهام
2:170:18	لَا	pred <<kan>>	خبر كان	non-nominal-pos:NEG:خبر كان
2:170:21	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:171:8	لَا	sub	صلة	non-nominal-pos:NEG:صلة
2:171:10	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
2:171:17	لَا	Pred	خبر	non-nominal-pos:NEG:خبر
2:172:11	إِن	root	root	non-nominal-pos:COND:root
2:173:13	فَمَنِ	root	root	non-nominal-pos:COND:root
2:173:17	وَلَا	emph	توكيد	tabi-non-nominal:NEG:توكيد
2:173:19	فَلَآ	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
2:174:14	مَا	Pred	خبر	non-nominal-pos:NEG:خبر
2:174:18	إِلَّا	exp	مستثني	non-nominal-pos:EXP:مستثني
2:174:20	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:174:25	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:177:3	أَن	subj <<lays>>	اسم ليس	non-nominal-pos:SUB:اسم ليس
2:177:23	ذَوِى	Obj	مضاف إليه	case-conflict:مضاف إليه
2:177:38	إِذَا	link	متعلق	no-case:متعلق:T
2:177:40	وَٱلصَّٰبِرِينَ	root	root	case-conflict:root
2:178:15	فَمَنْ	root	root	non-nominal-pos:COND:root
2:178:26	ذَٰلِكَ	rslt	جواب الشرط	no-case:جواب الشرط:DEM
2:178:31	فَمَنِ	root	root	non-nominal-pos:COND:root
2:180:5	أَحَدَكُمُ	Obj	فاعل	case-conflict:فاعل
2:180:7	إِن	root	root	non-nominal-pos:COND:root
2:180:10	ٱلْوَصِيَّةُ	Pass	مضاف إليه	case-conflict:مضاف إليه
2:181:1	فَمَنۢ	root	root	non-nominal-pos:COND:root
2:181:3	بَعْدَمَا	link	متعلق	no-case:متعلق:T
2:182:1	فَمَنْ	root	root	non-nominal-pos:COND:root
2:182:10	فَلَآ	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
2:183:7	كَمَا	gen	مجرور	non-nominal-pos:SUB:مجرور
2:184:3	فَمَن	root	root	non-nominal-pos:COND:root
2:184:20	فَمَن	root	root	non-nominal-pos:COND:root
2:184:23	فَهُوَ	rslt	جواب الشرط	no-case:جواب الشرط:PRON
2:184:26	وَأَن	root	root	non-nominal-pos:SUB:root
2:184:30	إِن	root	root	non-nominal-pos:COND:root
2:185:13	فَمَن	root	root	non-nominal-pos:COND:root
2:185:18	وَمَن	conj	معطوف	tabi-non-nominal:COND:معطوف
2:185:32	وَلَا	root	root	non-nominal-pos:NEG:root
2:186:3	عِبَادِى	Subj	مفعول به	case-conflict:مفعول به
2:187:48	وَلَا	root	root	non-nominal-pos:PRO:root
2:187:57	فَلَا	root	root	non-nominal-pos:PRO:root
2:188:1	وَلَا	root	root	non-nominal-pos:PRO:root
2:189:11	بِأَن	gen	مجرور	non-nominal-pos:SUB:مجرور
2:190:7	وَلَا	root	root	non-nominal-pos:PRO:root
2:190:11	لَا	pred<<in>>	خبر إن	non-nominal-pos:NEG:خبر إن
2:191:2	حَيْثُ	link	متعلق	no-case:متعلق:LOC
2:191:12	وَلَا	root	root	non-nominal-pos:PRO:root
2:191:20	فَإِن	root	root	non-nominal-pos:COND:root
2:192:1	فَإِنِ	root	root	non-nominal-pos:COND:root
2:193:3	لَا	gen	مجرور	non-nominal-pos:NEG:مجرور
2:193:9	فَإِنِ	root	root	non-nominal-pos:COND:root
2:193:11	فَلَا	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
2:193:13	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
2:194:7	فَمَنِ	root	root	non-nominal-pos:COND:root
2:195:5	وَلَا	root	root	non-nominal-pos:PRO:root
2:196:5	فَإِنْ	root	root	non-nominal-pos:COND:root
2:196:7	فَمَا	rslt	جواب الشرط	no-case:جواب الشرط:REL
2:196:11	وَلَا	root	root	non-nominal-pos:PRO:root
2:196:18	فَمَن	root	root	non-nominal-pos:COND:root
2:196:34	فَإِذَآ	link	متعلق	no-case:متعلق:T
2:196:36	فَمَن	root	root	non-nominal-pos:COND:root
2:196:41	فَمَا	rslt	جواب الشرط	no-case:جواب الشرط:REL
2:196:45	فَمَن	root	root	non-nominal-pos:COND:root
2:196:46	لَّمْ	cond	شرط	non-nominal-pos:NEG:شرط
2:196:54	إِذَا	link	متعلق	no-case:متعلق:T
2:196:61	لَّمْ	sub	صلة	non-nominal-pos:NEG:صلة
2:197:4	فَمَن	root	root	non-nominal-pos:COND:root
2:197:8	فَلَا	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
2:197:10	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:197:12	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:197:16	وَمَا	root	root	non-nominal-pos:COND:root
2:198:4	أَن	link	متعلق	non-nominal-pos:SUB:متعلق
2:198:19	كَمَا	gen	مجرور	non-nominal-pos:SUB:مجرور
2:198:21	وَإِن	-	-	absent-from-treebank:COND
2:200:19	وَمَا	root	root	non-nominal-pos:NEG:root
2:203:6	فَمَن	root	root	non-nominal-pos:COND:root
2:203:10	فَلَآ	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
